ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"19,560",292,1.90%,1.40%,"29,523",449,2.00%,1.50%,98.60%,97.58%,"2,550",44,13.04%,15.07%,"33.519,76 €","572,34 €","2,531",43
B0G3ZJ89NB,B0G2MT6K5N,"CUPERINOX Jamonero Inoxidable Giratorio | Jamonera base Inoxidable | Incluye Cuchillo Jamonero Alveolos 25 cm, Deshuesador 15 cm, Afilador y Funda para Jamón | Apto Jamones y Paletilla",20251,"9,900",296,0.96%,1.42%,"16,605",488,1.12%,1.63%,99.85%,100.00%,687,35,6.94%,11.82%,"41.752,38 €","2.109,24 €",682,35
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"6,566",152,0.64%,0.73%,"10,464",261,0.71%,0.87%,99.80%,98.84%,764,12,11.64%,7.89%,"18.564,24 €","279,33 €",618,11
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"22,469",360,2.18%,1.73%,"31,225",496,2.11%,1.66%,26.64%,3.79%,642,1,2.86%,0.28%,"6.182,71 €","9,63 €",596,1
B0DQV6381X,B0DQR3T9MM,CUPERINOX Jamonero Profesional | Jamonero Giratorio Inoxidable | Jamonero Plegable | Tabla Cortar Jamon | Jamonera | Soporte Jamon,SC_20250,"7,654",155,0.74%,0.74%,"12,667",240,0.86%,0.80%,99.82%,100.00%,425,13,5.55%,8.39%,"17.874,79 €","564,87 €",420,12
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"12,123",164,1.18%,0.79%,"17,407",223,1.18%,0.75%,99.81%,99.19%,382,12,3.15%,7.32%,"11.440,58 €","354,68 €",369,11
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_fbm,"5,321",157,0.52%,0.75%,"9,976",272,0.68%,0.91%,99.77%,100.00%,362,15,6.80%,9.55%,"29.017,50 €","1.185,97 €",358,15
B08NW1VQRT,B08NW1VQRT,CUPERINOX Navaja para Setas y Champiñones | Acero Inoxidable | Con Cepillo y Funda Incluida | Micológica,2181,"1,672",17,0.16%,0.08%,"2,438",23,0.17%,0.08%,99.82%,100.00%,387,2,23.15%,11.76%,"3.654,47 €","19,40 €",350,2
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"15,081",156,1.46%,0.75%,"19,700",205,1.33%,0.69%,99.83%,100.00%,315,0,2.09%,0.00%,"10.217,70 €","0,00 €",311,0
B0DVT6KPDV,B0DT73LYPQ,"CUPERINOX Cuchillos Montessori | Set de Cuchillos Infantiles de 16 Piezas | Cuchillos Niños Aprendizaje +2 Años | Incluye Delantal, Guante de Seguridad, Moldes Tabla de Cortar | Kids Collection",27016,"5,129",57,0.50%,0.27%,"7,623",84,0.52%,0.28%,99.80%,100.00%,306,7,5.97%,12.28%,"3.784,54 €","79,67 €",296,7
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"12,123",164,1.18%,0.79%,"17,407",223,1.18%,0.75%,99.81%,99.19%,297,11,2.45%,6.71%,"8.494,81 €","307,21 €",291,10
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"23,528",374,2.28%,1.80%,"34,345",532,2.33%,1.78%,11.08%,3.29%,327,0,1.39%,0.00%,"3.720,39 €","0,00 €",284,0
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"4,277",99,0.41%,0.48%,"6,781",137,0.46%,0.46%,71.76%,67.68%,275,13,6.43%,13.13%,"4.312,74 €","187,93 €",265,6
