ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0DPKXM18X,B0DNQXN97X,CUPERINOX Soporte Jamonero Inoxidable | Jamonero Plegable | Jamonero Giratorio | Jamonero Profesional | Cuchillo Jamonero Profesional y Afilador,20250_,"2,793",81,0.49%,0.59%,"3,309",90,0.40%,0.45%,62.92%,50.82%,8,0,0.29%,0.00%,"479,92 €","0,00 €",8,0
B08TWZYBPZ,B0FZC8B2NX,"CUPERINOX - Estuche de Cuchillos Profesionales de Cocina 4 Piezas | Chef 20 cm, Santoku 18 cm, Universal 13 cm y Pelador 9 cm | Acero Inoxidable de Alta Precisión | Mango Ergonómico",19301_FBA,660,22,0.12%,0.16%,846,35,0.10%,0.18%,99.87%,100.00%,8,1,1.21%,4.55%,"279,92 €","34,99 €",8,1
B017DLL2KA,B017DLL2KA,"Arcos Regia Cuchillos Mesa Carne Nitrum POM Negro-Oro 4,5 pulg",375000_1Pieza,247,9,0.04%,0.07%,367,16,0.04%,0.08%,56.27%,72.73%,35,3,14.17%,33.33%,"419,65 €","35,97 €",7,1
B07878SB8W,B07878SB8W,WINS – Fregasuelos Limpiador Amoniacal Pino 018 | Garrafa 5 L | Friegasuelos Perfumado para Suelos y Superficies Lavables | Uso General | 100% Made in Spain,WINS018,64,1,0.01%,0.01%,100,1,0.01%,0.01%,96.81%,100.00%,8,0,12.50%,0.00%,"103,81 €","0,00 €",7,0
B0788R5C2F,B0788R5C2F,Wins 019 Desincrustante Máquinas. Envase 5 L. Producto ácido para la eliminación de incrustaciones de cal y óxido en máquinas lavavajillas.,BM-7KH8-TWCU,119,11,0.02%,0.08%,151,14,0.02%,0.07%,100.00%,100.00%,8,2,6.72%,18.18%,"158,00 €","39,50 €",7,2
B0FR444FLT,B07DQRFDMB,Arcos Manhattan Cuchillo Santoku Forjado Acero POM Negro 190 mm,161600_,699,10,0.12%,0.07%,"1,087",13,0.13%,0.07%,17.14%,50.00%,7,0,1.00%,0.00%,"241,43 €","0,00 €",7,0
B0F1ZF7H1L,B07JWG12BV,Arcos Riviera Set 3 Cuchillos Forjados Acero Inoxidable Nitrum,807710_,534,11,0.09%,0.08%,658,11,0.08%,0.06%,96.31%,80.00%,7,0,1.31%,0.00%,"489,93 €","0,00 €",7,0
B0FWM351K4,B07MDGR8G1,CUPERINOX® Couture Series - Tijera Costura Profesional 15 cm | Acero Inoxidable Irrompible | Mango Ergonómico Antideslizante | Corte Preciso y Duradero,21950_us,72,0,0.01%,0.00%,91,0,0.01%,0.00%,73.42%,0.00%,7,0,9.72%,0.00%,"55,93 €","0,00 €",7,0
B0FR444FLT,B07N8V34F1,"Arcos Cuchillo Santoku Acero Inoxidable Forjado con Balanceo, Mango Micarta y BorSeda Especial y Hoja Plateada 190 mm. Impresiona yorprencon Cada Corte. Serie Brooklyn. Color Azul.",191623_,332,6,0.06%,0.04%,436,7,0.05%,0.04%,69.95%,100.00%,7,0,2.11%,0.00%,"314,93 €","0,00 €",7,0
B0FR444FLT,B0843DNN57,Arcos Set Cuchillos Forjados 4 piezas (3 Cuchillos + 1 tijeras) - Acero Inoxidable Forjado NITRUM - Mango Micarta - Bloques Madera Color Azul. Serie Brooklyn. Impresiona yorprencon Cada Corte.,194000_,387,13,0.07%,0.09%,526,24,0.06%,0.12%,62.42%,36.84%,7,1,1.81%,7.69%,"729,93 €","101,99 €",7,1
