ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"7,275",179,2.78%,2.72%,"10,775",232,2.93%,2.50%,23.87%,9.15%,249,1,3.42%,0.56%,"3.483,51 €","13,99 €",202,1
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_,"2,523",72,0.96%,1.09%,"4,481",127,1.22%,1.37%,99.34%,97.22%,166,5,6.58%,6.94%,"14.908,59 €","418,71 €",166,5
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"3,830",82,1.46%,1.24%,"5,396",113,1.47%,1.22%,99.06%,100.00%,164,12,4.28%,14.63%,"4.908,22 €","349,48 €",161,10
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"1,651",21,0.63%,0.32%,"2,681",30,0.73%,0.32%,95.27%,100.00%,147,4,8.90%,19.05%,"2.242,00 €","61,00 €",140,3
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"2,174",74,0.83%,1.12%,"3,430",117,0.93%,1.26%,98.84%,100.00%,158,0,7.27%,0.00%,"4.266,22 €","0,00 €",133,0
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"5,614",99,2.15%,1.50%,"6,974",133,1.89%,1.43%,99.06%,100.00%,121,1,2.16%,1.01%,"3.931,29 €","32,49 €",119,1
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,908,26,0.35%,0.39%,"1,280",37,0.35%,0.40%,85.99%,95.45%,108,6,11.89%,23.08%,"1.457,58 €","80,94 €",106,5
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_,"2,174",74,0.83%,1.12%,"3,430",117,0.93%,1.26%,98.84%,100.00%,122,21,5.61%,28.38%,"3.233,83 €","530,28 €",105,15
B0F1N351DY,B072FGV2YH,Arcos Juego de 6 Cuchillos Mondadores Acero Inoxidable 100 mm,189100,"14,925",369,5.71%,5.60%,"21,426",565,5.82%,6.08%,6.38%,9.09%,106,0,0.71%,0.00%,"1.818,46 €","0,00 €",98,0
B09RP6V156,B09RP6V156,"CUPERINOX® Alicates para pedicura, Profesional, Cortaúñas de Pies, Acero Inoxidable, Mango Ergonómico Antideslizante, Fácil Limpieza, Con Funda, 2 Años de Garantía",21920AM,645,13,0.25%,0.20%,997,15,0.27%,0.16%,99.43%,100.00%,97,2,15.04%,15.38%,"968,20 €","18,98 €",94,2
