ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"4,278",117,1.93%,2.00%,"6,414",181,2.01%,2.10%,89.46%,31.25%,470,13,10.99%,11.11%,"6.535,17 €","180,61 €",409,7
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"14,173",311,6.39%,5.31%,"19,942",460,6.24%,5.34%,29.88%,11.60%,287,8,2.02%,2.57%,"2.866,51 €","75,19 €",276,8
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"3,848",69,1.73%,1.18%,"5,412",97,1.69%,1.13%,99.05%,95.83%,202,14,5.25%,20.29%,"6.053,28 €","414,66 €",195,9
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"2,296",78,1.03%,1.33%,"3,695",107,1.16%,1.24%,99.34%,100.00%,161,1,7.01%,1.28%,"4.346,74 €","26,99 €",142,1
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_,"2,135",69,0.96%,1.18%,"3,946",107,1.23%,1.24%,99.19%,100.00%,142,3,6.65%,4.35%,"12.780,07 €","269,97 €",138,3
B0F1N351DY,B072FGV2YH,Arcos Juego de 6 Cuchillos Mondadores Acero Inoxidable 100 mm,189100,"3,425",95,1.54%,1.62%,"4,907",155,1.53%,1.80%,56.76%,54.87%,148,0,4.32%,0.00%,"2.541,95 €","0,00 €",136,0
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"4,178",61,1.88%,1.04%,"5,422",79,1.70%,0.92%,99.07%,100.00%,131,0,3.14%,0.00%,"4.256,19 €","0,00 €",131,0
B0752NT3TH,B005LR77GC,ARCOS Tijeras de Cocina Profesional 235 mm,185701,927,45,0.42%,0.77%,"1,491",56,0.47%,0.65%,46.17%,27.27%,128,1,13.81%,2.22%,"1.151,32 €","8,99 €",119,1
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"1,105",13,0.50%,0.22%,"1,586",18,0.50%,0.21%,72.14%,72.73%,117,0,10.59%,0.00%,"1.579,65 €","0,00 €",116,0
B095SDL23Y,B095SDL23Y,Arcos | cuchillos de mesa (6 ud) | cuchillos acero inoxidable con sierra cuchillo chuletero cuchillos chuleteros | Fabricado en España,813000,"1,094",33,0.49%,0.56%,"1,614",43,0.50%,0.50%,100.00%,100.00%,106,1,9.69%,3.03%,"1.694,94 €","15,99 €",94,1
B08M7BMR2S,B00I9XTLSC,ARCOS Afilador Profesional Manual Cerámica y Carbono Rojo-Negro,610600_2,"6,658",141,3.00%,2.41%,"9,116",207,2.85%,2.40%,16.21%,0.00%,94,0,1.41%,0.00%,"1.268,58 €","0,00 €",92,0
B0D4WK78XV,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,22105+22106pack,"1,805",31,0.81%,0.53%,"2,659",45,0.83%,0.52%,68.57%,100.00%,93,5,5.15%,16.13%,"1.059,27 €","60,95 €",91,3
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900,"1,320",24,0.59%,0.41%,"1,838",41,0.57%,0.48%,99.57%,100.00%,92,1,6.97%,4.17%,"2.391,94 €","25,99 €",90,1
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"1,626",36,0.73%,0.61%,"2,533",47,0.79%,0.55%,59.70%,41.67%,99,12,6.09%,33.33%,"1.496,28 €","165,35 €",89,3
B07YM65C6J,B007TS6HMQ,ARCOS Pinza para Pescado Acero Inoxidable,605000_caja,500,17,0.23%,0.29%,744,24,0.23%,0.28%,79.82%,68.75%,88,6,17.60%,35.29%,"814,45 €","55,50 €",84,5
B08M7BMR2S,B08LNRV6N6,"Arcos Afiladores, Afilador de Cuchillos de Mano, Hecho de ABS + TPE, Rodillos Cerámico y Carburo, Color Blanco y Negro",610624,924,19,0.42%,0.32%,"1,187",24,0.37%,0.28%,98.93%,100.00%,82,2,8.87%,10.53%,"1.122,56 €","25,02 €",82,2
B0D4WK78XV,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,22105y22106,"1,805",31,0.81%,0.53%,"2,659",45,0.83%,0.52%,68.57%,100.00%,79,2,4.38%,6.45%,"942,21 €","23,98 €",79,2
B08GSTDWTC,B08LVVQ3ZQ,"Arcos Serie Nova - Cuchillo para pelar, Acero Inoxidable NITRUM, Envase Ecológico, 3 colores Fucsia, Turquesa y Amarillo",703700_,716,15,0.32%,0.26%,"1,171",21,0.37%,0.24%,99.24%,100.00%,98,15,13.69%,100.00%,"1.028,19 €","157,35 €",77,1
B0DVT6KPDV,B0DT6ZPGVQ, ,27008,708,19,0.32%,0.32%,"1,019",27,0.32%,0.31%,98.41%,100.00%,75,0,10.59%,0.00%,"901,25 €","0,00 €",74,0
B0F2Z57T3H,B09CL776WP,CUPERINOX® Cuchillos de Mesa Acero Inoxidable – Set 12 Cuchillos para Carne con Filo Dentado – Aptos Lavavajillas – Uso Diario y Profesional,15015_,992,51,0.45%,0.87%,"1,432",80,0.45%,0.93%,99.53%,100.00%,119,4,12.00%,7.84%,"2.259,81 €","75,96 €",70,2
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_,"2,296",78,1.03%,1.33%,"3,695",107,1.16%,1.24%,99.34%,100.00%,103,22,4.49%,28.21%,"2.711,68 €","541,78 €",65,7
B08L8MV8XD,B005LR72SK,Arcos Juego de Cuchillos con Bloque Acero Inoxidable 6 piezas,136100_,"2,741",65,1.24%,1.11%,"4,214",94,1.32%,1.09%,37.00%,48.57%,56,4,2.04%,6.15%,"2.517,20 €","179,80 €",56,4
B08M7BMR2S,B08LNRV6N6,"Arcos Afiladores, Afilador de Cuchillos de Mano, Hecho de ABS + TPE, Rodillos Cerámico y Carburo, Color Blanco y Negro",610624_fbm,924,19,0.42%,0.32%,"1,187",24,0.37%,0.28%,98.93%,100.00%,55,0,5.95%,0.00%,"753,94 €","0,00 €",54,0
B08G8QCM5H,B08G8QCM5H,ARCOS cuchillo pelador | 6 PIEZAS | cuchillo de pelar | cuchillos pelar patatas | Hoja 100 mm | Negro | cuchillo arcos pelador Acero Inoxidable,816500_,831,33,0.37%,0.56%,"1,177",53,0.37%,0.62%,100.00%,100.00%,53,4,6.38%,12.12%,"1.006,47 €","75,96 €",51,4
B09RP6V156,B09RP6V156,"CUPERINOX® Alicates para pedicura, Profesional, Cortaúñas de Pies, Acero Inoxidable, Mango Ergonómico Antideslizante, Fácil Limpieza, Con Funda, 2 Años de Garantía",21920AM_fba,437,9,0.20%,0.15%,643,10,0.20%,0.12%,99.82%,80.00%,54,3,12.36%,33.33%,"512,46 €","28,47 €",51,3
B0DNNKT1W2,B0DNNFJ5J7,"Cuperinox-Tetera de Cristal con Infusor para Té e Infusiones, Resistente al Calor y Compatible con Microondas ** - Infusion Prestige Collection (350 ml)",26110_,"1,469",46,0.66%,0.79%,"1,988",79,0.62%,0.92%,99.55%,100.00%,51,2,3.47%,4.35%,"764,49 €","29,98 €",49,1
B09N7S17J6,B09D3YRGL9,"CUPERINOX Navaja Plegable Multiusos – Hoja de Acero Inoxidable 80 mm (Filo Liso + Serrado), Punta Rompevidrios, Apertura Rápida, Clip de Cinturón, Herramienta para Camping, Caza, Pesca y Supervivencia",30061_,"1,014",15,0.46%,0.26%,"1,543",20,0.48%,0.23%,99.18%,100.00%,48,2,4.73%,13.33%,"479,52 €","19,98 €",47,2
