ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,AVISPAS_PACK_2,"4,131",197,1.03%,1.89%,"5,907",265,1.05%,1.75%,93.11%,89.05%,768,99,18.59%,50.25%,"13.073,72 €","1.643,66 €",667,62
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"6,525",139,1.63%,1.33%,"9,468",185,1.68%,1.22%,99.84%,95.12%,371,17,5.69%,12.23%,"11.096,95 €","499,53 €",363,16
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"7,712",185,1.93%,1.77%,"11,352",284,2.01%,1.87%,37.27%,37.01%,333,1,4.32%,0.54%,"3.995,67 €","13,99 €",306,1
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"2,773",74,0.69%,0.71%,"4,316",118,0.76%,0.78%,99.60%,98.70%,294,2,10.60%,2.70%,"7.867,24 €","60,00 €",244,2
B0H9SL9KYG,B0H8SYBZD4,"CUPERINOX 4 Tuppers de Vidrio Herméticos, Rectangulares, sin BPA, Meal Prep",28001,"1,950",36,0.49%,0.35%,"3,003",51,0.53%,0.34%,98.88%,100.00%,195,6,10.00%,16.67%,"2.921,20 €","87,34 €",188,5
B0G6M1C8V6,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,F22105-22106,"1,762",37,0.44%,0.35%,"2,631",55,0.47%,0.36%,99.83%,100.00%,181,10,10.27%,27.03%,"2.170,39 €","119,90 €",179,10
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"2,394",50,0.60%,0.48%,"3,412",77,0.60%,0.51%,99.93%,100.00%,145,3,6.06%,6.00%,"4.773,14 €","98,94 €",141,3
B0GY2G2Y86,B08JCVQ4QL,"Arcos Series Niza - Juego de Cuchillos Cocina, 6 Piezas, Cuchillos Verduras 110 mm, + Cuchillo Mesa, Envase 100% Ecológico, Acero Inoxidable NITRUM",809400,"2,416",55,0.60%,0.53%,"3,578",75,0.63%,0.49%,99.71%,100.00%,142,3,5.88%,5.45%,"2.838,58 €","59,97 €",129,3
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,805109_uss,"7,712",185,1.93%,1.77%,"11,352",284,2.01%,1.87%,37.27%,37.01%,153,8,1.98%,4.32%,"1.834,47 €","95,92 €",122,8
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900,"2,100",36,0.52%,0.35%,"2,798",40,0.50%,0.26%,99.81%,96.55%,122,3,5.81%,8.33%,"3.162,62 €","77,97 €",120,3
