ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,AVISPAS_PACK_2,"8,982",609,2.71%,5.86%,"13,121",876,2.78%,5.87%,97.54%,95.22%,"2,345",390,26.11%,64.04%,"40.370,18 €","6.449,69 €","2,011",229
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"5,550",108,1.67%,1.04%,"7,990",141,1.69%,0.94%,98.16%,100.00%,279,19,5.03%,17.59%,"8.366,18 €","566,28 €",274,18
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"5,435",142,1.64%,1.37%,"7,973",202,1.69%,1.35%,44.33%,29.46%,279,5,5.13%,3.52%,"3.301,62 €","69,94 €",236,1
B0GTZB24Q5,B0GTZB24Q5,"VINFERMATON- Fregasuelos Insecticida Pack 2×1L | Antihormigas y Anticucarachas | Elimina Hormigas, Cucarachas y Arañas |Uso Directo en Zócalos y Suelos| Friegasuelos Aroma Lavanda |100% MADE IN SPAIN",FriegasuelosInsecticida_Pack2,"3,036",73,0.92%,0.70%,"4,132",108,0.87%,0.72%,98.40%,100.00%,225,15,7.41%,20.55%,"3.341,05 €","194,15 €",203,7
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"2,390",76,0.72%,0.73%,"3,802",116,0.80%,0.78%,99.42%,98.94%,234,9,9.79%,11.84%,"6.289,70 €","269,87 €",190,3
B0FBRQYHVM,B0FBRNCHGJ,"CUPERINOX® Ventilador Portátil Silencioso y Recargable con Power Bank 20000mAh, +50H de batería – Ventilador de Mesa USB con Mando, Luz LED y 4 Velocidades – Ideal para Dormir, Camping y Hogar.",27000,"4,009",150,1.21%,1.44%,"6,463",247,1.37%,1.65%,99.19%,100.00%,201,18,5.01%,12.00%,"11.863,22 €","881,09 €",190,17
B06XD39V8J,B06XD39V8J,VINFERMATON – Insecticida Cucarachas y Hormigas Residual 400 ml | Spray Efecto Duradero para Interior y Exterior | Profesional Doméstico | 100 % MADE IN SPAIN,V0012_,"1,168",29,0.35%,0.28%,"1,700",37,0.36%,0.25%,72.44%,100.00%,255,29,21.83%,100.00%,"1.937,03 €","217,73 €",186,9
B0H4FZYK8Z,B0FH2NLMGN,VINFERMATON Insecticida Hormigas y Cucarachas Residual | Antihormigas | Pack 2×400 ml | Efecto hasta 1 año | Interior y Exterior | Profesional Doméstico | 100% MADE IN SPAIN,V0012_PACK2,"1,633",50,0.49%,0.48%,"2,225",66,0.47%,0.44%,95.27%,90.24%,199,23,12.19%,46.00%,"2.959,90 €","323,16 €",179,13
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,V0020_PACK_Fba,"8,982",609,2.71%,5.86%,"13,121",876,2.78%,5.87%,97.54%,95.22%,190,5,2.12%,0.82%,"3.513,10 €","92,45 €",177,5
B0H6BQ4BG5,B0H3Q5DQZ4,VINFERMATÓN Pack 2 Insecticida Mosquitos y Moscas Concentrado Matón PS 250 ml | Spray para Insectos Voladores |Acción Inmediata|Con Piretrinas Sintéticas|Formato Ligero con Dosificación Controlad,MATONPS_PACK2,879,40,0.27%,0.38%,"1,294",73,0.27%,0.49%,96.73%,100.00%,273,46,31.06%,115.00%,"4.283,81 €","649,68 €",173,18
B0FBRQYHVM,B0FBRLQK47,"CUPERINOX Ventilador Portatil, Camping, Exterior, Playa, Piscina, Festival| 5+ cargas movil| +48H de bateria | 20000mAh| Powerbank, Luz led, Mando a distancia y Temporizador",27001,"2,645",100,0.80%,0.96%,"4,536",162,0.96%,1.08%,99.25%,100.00%,177,25,6.69%,25.00%,"10.134,83 €","1.175,44 €",162,12
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"2,202",54,0.66%,0.52%,"3,091",74,0.65%,0.50%,99.74%,95.83%,152,3,6.90%,5.56%,"5.012,50 €","98,94 €",150,3
B08GSTDWTC,B08LVVQ3ZQ,"Arcos Serie Nova - Cuchillo para pelar, Acero Inoxidable NITRUM, Envase Ecológico, 3 colores Fucsia, Turquesa y Amarillo",703700_,"3,425",38,1.03%,0.37%,"4,522",50,0.96%,0.33%,80.61%,100.00%,155,8,4.53%,21.05%,"1.626,12 €","83,92 €",148,7
B017HKSTCQ,B00CFN1M6Q,ARCOS Tijeras de Cocina Multiusos 200 mm,809700_FBA,"2,137",62,0.64%,0.60%,"3,215",88,0.68%,0.59%,25.77%,17.11%,152,11,7.11%,17.74%,"1.813,76 €","131,23 €",140,5
B071PB1GX3,B071PB1GX3,WINS 007 - Friegasuelos Perfumado | Garrafa 5 L,WINS007,544,47,0.16%,0.45%,696,62,0.15%,0.42%,92.49%,100.00%,188,87,34.56%,185.11%,"1.860,77 €","851,78 €",140,66
B0H4FZYK8Z,B0H3Q8F8RW,"VINFERMATÓN Antihormigas y Anticucarachas Pack 3 Insecticida Residual 400 ml x 3 | Total 1,2L | Efecto hasta 1 Año | Interior y Exterior | Spray Profesional",RESIDUAL400ML_PACK3,906,41,0.27%,0.39%,"1,275",59,0.27%,0.40%,98.79%,100.00%,143,22,15.78%,53.66%,"2.685,52 €","411,65 €",135,19
B0G6M1C8V6,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,F22105-22106,"1,146",26,0.35%,0.25%,"1,726",40,0.37%,0.27%,99.74%,100.00%,132,2,11.52%,7.69%,"1.581,30 €","23,98 €",132,2
B0FJLTDB9J,B09RP6V156,"CUPERINOX® Alicates para pedicura, Profesional, Cortaúñas de Pies, Acero Inoxidable, Mango Ergonómico Antideslizante, Fácil Limpieza, Con Funda, 2 Años de Garantía",21920AM,"1,058",32,0.32%,0.31%,"1,593",52,0.34%,0.35%,99.11%,100.00%,139,9,13.14%,28.13%,"1.512,82 €","83,94 €",128,6
B0GY2G2Y86,B08JCVQ4QL,"Arcos Series Niza - Juego de Cuchillos Cocina, 6 Piezas, Cuchillos Verduras 110 mm, + Cuchillo Mesa, Envase 100% Ecológico, Acero Inoxidable NITRUM",809400,"2,021",48,0.61%,0.46%,"3,027",86,0.64%,0.58%,99.04%,100.00%,123,8,6.09%,16.67%,"2.457,45 €","158,60 €",114,5
B07YM65C6J,B007TS6HMQ,ARCOS Pinza para Pescado Acero Inoxidable,605000_caja,515,27,0.16%,0.26%,734,34,0.16%,0.23%,97.41%,50.00%,117,3,22.72%,11.11%,"1.081,52 €","27,73 €",113,2
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,805109_uss,"5,435",142,1.64%,1.37%,"7,973",202,1.69%,1.35%,44.33%,29.46%,157,23,2.89%,16.20%,"1.882,43 €","275,77 €",113,13
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900,"1,829",29,0.55%,0.28%,"2,491",36,0.53%,0.24%,99.87%,100.00%,107,4,5.85%,13.79%,"2.768,69 €","103,96 €",105,4
B09N7S17J6,B09D3YRGL9,"CUPERINOX Navaja Plegable Multiusos – Hoja de Acero Inoxidable 80 mm (Filo Liso + Serrado), Punta Rompevidrios, Apertura Rápida, Clip de Cinturón, Herramienta para Camping, Caza, Pesca y Supervivencia",30061_,"1,587",29,0.48%,0.28%,"2,178",34,0.46%,0.23%,99.01%,100.00%,111,1,6.99%,3.45%,"1.108,89 €","9,99 €",100,1
B0CYTKGNPM,B0CW68KM18,Pelador de Cocina ARCOS - Hoja de Acero Inoxidable | Mango Ergonómico | Herramienta Versátil para Pelar Frutas y Verduras,607300,"1,685",49,0.51%,0.47%,"2,131",67,0.45%,0.45%,86.61%,81.58%,92,14,5.46%,28.57%,"689,44 €","104,86 €",85,10
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"1,773",43,0.53%,0.41%,"2,829",76,0.60%,0.51%,47.34%,58.33%,90,8,5.08%,18.60%,"1.417,74 €","117,52 €",84,6
B0FBRQYHVM,B0FBRNCHGJ,"CUPERINOX® Ventilador Portátil Silencioso y Recargable con Power Bank 20000mAh, +50H de batería – Ventilador de Mesa USB con Mando, Luz LED y 4 Velocidades – Ideal para Dormir, Camping y Hogar.",A27000,"4,009",150,1.21%,1.44%,"6,463",247,1.37%,1.65%,99.19%,100.00%,83,1,2.07%,0.67%,"4.980,16 €","59,99 €",81,1
