ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,V0020_PACK2,"5,064",231,1.57%,2.88%,"8,037",325,1.74%,2.79%,93.06%,63.97%,"1,333",107,26.32%,46.32%,"22.251,42 €","1.737,08 €","1,209",60
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"14,659",293,4.55%,3.65%,"20,602",403,4.47%,3.45%,17.29%,4.98%,329,0,2.24%,0.00%,"4.055,98 €","0,00 €",295,0
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"2,549",68,0.79%,0.85%,"4,144",118,0.90%,1.01%,99.25%,100.00%,292,0,11.46%,0.00%,"7.882,71 €","0,00 €",239,0
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"7,540",120,2.34%,1.50%,"9,466",157,2.06%,1.35%,99.08%,98.82%,189,0,2.51%,0.00%,"6.141,15 €","0,00 €",186,0
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"4,012",87,1.25%,1.08%,"5,688",120,1.23%,1.03%,99.86%,100.00%,171,3,4.26%,3.45%,"5.128,30 €","89,97 €",169,2
B06XD39V8J,B06XD39V8J,VINFERMATON – Insecticida Cucarachas y Hormigas Residual 400 ml | Spray Efecto Duradero para Interior y Exterior | Profesional Doméstico | 100 % MADE IN SPAIN,V0012_,"1,282",29,0.40%,0.36%,"1,886",35,0.41%,0.30%,41.91%,66.67%,217,18,16.93%,62.07%,"1.753,59 €","146,04 €",164,7
B0F1N351DY,B072FGV2YH,Arcos Juego de 6 Cuchillos Mondadores Acero Inoxidable 100 mm,189100,"5,338",147,1.66%,1.83%,"7,815",217,1.70%,1.86%,28.09%,3.55%,163,0,3.05%,0.00%,"2.689,22 €","0,00 €",155,0
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,981,25,0.30%,0.31%,"1,469",44,0.32%,0.38%,98.62%,88.89%,152,5,15.49%,20.00%,"2.050,48 €","67,45 €",151,5
B08GSTDWTC,B08LVVQ3ZQ,"Arcos Serie Nova - Cuchillo para pelar, Acero Inoxidable NITRUM, Envase Ecológico, 3 colores Fucsia, Turquesa y Amarillo",703700_,"1,033",22,0.32%,0.27%,"1,629",33,0.35%,0.28%,99.45%,100.00%,133,3,12.88%,13.64%,"1.395,17 €","31,47 €",122,3
B0D4WK78XV,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,22105-22106,"1,813",33,0.56%,0.41%,"2,619",47,0.57%,0.40%,69.35%,69.23%,98,7,5.41%,21.21%,"1.175,02 €","83,93 €",94,5
B0D4WK78XV,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,F22105-22106,"1,813",33,0.56%,0.41%,"2,619",47,0.57%,0.40%,69.35%,69.23%,94,1,5.18%,3.03%,"1.127,06 €","11,99 €",92,1
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_fbm,"2,208",105,0.69%,1.31%,"3,938",196,0.85%,1.68%,99.04%,99.27%,92,0,4.17%,0.00%,"8.280,57 €","0,00 €",91,0
B0FBRQYHVM,B0FBRNCHGJ,"CUPERINOX® Ventilador Portátil Silencioso y Recargable con Power Bank 20000mAh, +50H de batería – Ventilador de Mesa USB con Mando, Luz LED y 4 Velocidades – Ideal para Dormir, Camping y Hogar.",27000,"1,870",65,0.58%,0.81%,"2,975",91,0.65%,0.78%,99.96%,100.00%,90,6,4.81%,9.23%,"4.539,80 €","290,64 €",85,6
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900,"1,384",28,0.43%,0.35%,"1,830",36,0.40%,0.31%,98.98%,100.00%,83,1,6.00%,3.57%,"2.157,17 €","25,99 €",83,1
B095SDL23Y,B095SDL23Y,Arcos | cuchillos de mesa (6 ud) | cuchillos acero inoxidable con sierra cuchillo chuletero cuchillos chuleteros | Fabricado en España,813000,"1,088",21,0.34%,0.26%,"1,562",32,0.34%,0.27%,99.56%,100.00%,83,0,7.63%,0.00%,"1.327,43 €","0,00 €",74,0
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"1,529",28,0.47%,0.35%,"2,347",43,0.51%,0.37%,56.59%,32.35%,77,9,5.04%,32.14%,"1.163,75 €","126,75 €",71,3
B07YM65C6J,B007TS6HMQ,ARCOS Pinza para Pescado Acero Inoxidable,605000_605010,452,13,0.14%,0.16%,630,15,0.14%,0.13%,88.81%,72.73%,70,6,15.49%,46.15%,"664,19 €","56,38 €",65,5
B09N7S17J6,B09D3YRGL9,"CUPERINOX Navaja Plegable Multiusos – Hoja de Acero Inoxidable 80 mm (Filo Liso + Serrado), Punta Rompevidrios, Apertura Rápida, Clip de Cinturón, Herramienta para Camping, Caza, Pesca y Supervivencia",30061_,909,14,0.28%,0.17%,"1,327",22,0.29%,0.19%,97.86%,100.00%,67,1,7.37%,7.14%,"669,33 €","9,99 €",63,1
