ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"4,009",117,2.39%,2.41%,"5,939",164,2.49%,2.33%,64.93%,12.80%,418,2,10.43%,1.71%,"5.161,70 €","23,31 €",363,2
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"1,579",22,0.94%,0.45%,"2,501",35,1.05%,0.50%,97.10%,80.77%,164,26,10.39%,118.18%,"2.468,75 €","363,50 €",141,6
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"1,786",65,1.07%,1.34%,"2,755",112,1.16%,1.59%,99.36%,100.00%,167,2,9.35%,3.08%,"4.510,93 €","53,98 €",137,1
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"3,139",57,1.87%,1.17%,"4,070",82,1.71%,1.16%,98.38%,95.92%,136,0,4.33%,0.00%,"4.419,04 €","0,00 €",133,0
B0F1N351DY,B072FGV2YH,Arcos Juego de 6 Cuchillos Mondadores Acero Inoxidable 100 mm,189100,"3,539",108,2.11%,2.22%,"4,970",161,2.09%,2.28%,46.40%,46.92%,129,0,3.65%,0.00%,"2.213,47 €","0,00 €",115,0
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_,"1,750",56,1.04%,1.15%,"3,249",114,1.36%,1.62%,98.78%,100.00%,110,6,6.29%,10.71%,"9.877,89 €","517,44 €",109,6
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,860,20,0.51%,0.41%,"1,197",29,0.50%,0.41%,97.28%,100.00%,100,2,11.63%,10.00%,"1.349,44 €","26,98 €",98,2
B08GSTDWTC,B08LVVQ3ZQ,"Arcos Serie Nova - Cuchillo para pelar, Acero Inoxidable NITRUM, Envase Ecológico, 3 colores Fucsia, Turquesa y Amarillo",703700_,616,15,0.37%,0.31%,979,21,0.41%,0.30%,99.32%,100.00%,89,3,14.45%,20.00%,"931,96 €","29,65 €",83,3
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"3,036",83,1.81%,1.71%,"4,103",111,1.72%,1.58%,99.18%,100.00%,82,3,2.70%,3.61%,"2.449,78 €","79,57 €",82,3
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_,"1,786",65,1.07%,1.34%,"2,755",112,1.16%,1.59%,99.36%,100.00%,116,45,6.49%,69.23%,"3.015,15 €","1.114,55 €",79,18
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"3,036",83,1.81%,1.71%,"4,103",111,1.72%,1.58%,99.18%,100.00%,83,14,2.73%,16.87%,"2.480,86 €","411,55 €",77,10
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900,947,20,0.57%,0.41%,"1,302",25,0.55%,0.35%,99.66%,100.00%,89,17,9.40%,85.00%,"2.313,11 €","441,83 €",75,3
