ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,AVISPAS_PACK_2,"8,677",478,2.09%,4.16%,"12,697",677,2.19%,4.18%,99.38%,98.39%,"2,285",299,26.33%,62.55%,"38.645,25 €","4.930,64 €","2,007",193
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"9,461",222,2.28%,1.93%,"13,295",318,2.29%,1.96%,42.94%,7.02%,603,0,6.37%,0.00%,"7.111,71 €","0,00 €",516,0
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"6,050",104,1.46%,0.91%,"8,724",146,1.50%,0.90%,99.89%,100.00%,308,11,5.09%,10.58%,"9.130,16 €","329,97 €",305,10
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"2,894",75,0.70%,0.65%,"4,379",127,0.76%,0.78%,100.00%,100.00%,305,13,10.54%,17.33%,"8.109,57 €","379,34 €",241,4
B0CYTKGNPM,B0CW68KM18,Pelador de Cocina ARCOS - Hoja de Acero Inoxidable | Mango Ergonómico | Herramienta Versátil para Pelar Frutas y Verduras,607300,"2,046",66,0.49%,0.58%,"2,485",75,0.43%,0.46%,99.88%,100.00%,223,20,10.90%,30.30%,"1.668,27 €","148,50 €",206,7
B0H4FZYK8Z,B0FH2NLMGN,VINFERMATON Insecticida Hormigas y Cucarachas Residual | Antihormigas | Pack 2×400 ml | Efecto hasta 1 año | Interior y Exterior | Profesional Doméstico | 100% MADE IN SPAIN,V0012_PACK2,"1,412",46,0.34%,0.40%,"1,984",71,0.34%,0.44%,97.92%,93.33%,204,18,14.45%,39.13%,"3.017,34 €","262,95 €",191,17
B0G6M1C8V6,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,F22105-22106,"1,066",16,0.26%,0.14%,"1,624",25,0.28%,0.15%,99.79%,100.00%,186,5,17.45%,31.25%,"2.184,26 €","59,95 €",180,4
B0GTZB24Q5,B0GTZB24Q5,"VINFERMATON- Fregasuelos Insecticida Pack 2×1L | Antihormigas y Anticucarachas | Elimina Hormigas, Cucarachas y Arañas |Uso Directo en Zócalos y Suelos| Friegasuelos Aroma Lavanda |100% MADE IN SPAIN",FriegasuelosInsecticida_Pack2,"2,236",61,0.54%,0.53%,"3,216",87,0.55%,0.54%,98.98%,100.00%,194,16,8.68%,26.23%,"2.873,21 €","235,44 €",180,14
B06XD39V8J,B06XD39V8J,VINFERMATON – Insecticida Cucarachas y Hormigas Residual 400 ml | Spray Efecto Duradero para Interior y Exterior | Profesional Doméstico | 100 % MADE IN SPAIN,V0012_,"1,620",57,0.39%,0.50%,"2,296",78,0.40%,0.48%,43.89%,19.23%,209,13,12.90%,22.81%,"1.587,91 €","97,47 €",169,5
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"2,335",41,0.56%,0.36%,"3,311",56,0.57%,0.35%,99.90%,100.00%,163,5,6.98%,12.20%,"5.283,30 €","164,90 €",162,5
