ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"24,770",307,6.47%,3.29%,"36,001",455,6.64%,3.39%,41.68%,36.20%,889,33,3.59%,10.75%,"8.860,35 €","326,54 €",830,29
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"5,746",118,1.50%,1.26%,"8,122",160,1.50%,1.19%,99.81%,100.00%,288,9,5.01%,7.63%,"8.622,02 €","269,91 €",280,7
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"6,430",166,1.68%,1.78%,"9,363",226,1.73%,1.68%,40.86%,6.75%,270,0,4.20%,0.00%,"3.196,38 €","0,00 €",252,0
B0CYTKGNPM,B0CW68KM18,Pelador de Cocina ARCOS - Hoja de Acero Inoxidable | Mango Ergonómico | Herramienta Versátil para Pelar Frutas y Verduras,607300,"1,518",37,0.40%,0.40%,"2,034",50,0.38%,0.37%,96.31%,100.00%,269,23,17.72%,62.16%,"2.133,67 €","182,34 €",246,12
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"2,586",64,0.68%,0.69%,"4,137",99,0.76%,0.74%,99.95%,100.00%,248,8,9.59%,12.50%,"6.545,37 €","193,98 €",205,3
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_fbm,"4,651",150,1.22%,1.61%,"8,287",286,1.53%,2.13%,99.50%,100.00%,192,3,4.13%,2.00%,"17.282,55 €","269,97 €",191,3
B08GSTDWTC,B08LVVQ3ZQ,"Arcos Serie Nova - Cuchillo para pelar, Acero Inoxidable NITRUM, Envase Ecológico, 3 colores Fucsia, Turquesa y Amarillo",703700_,"1,197",28,0.31%,0.30%,"1,891",52,0.35%,0.39%,99.88%,100.00%,147,3,12.28%,10.71%,"1.542,71 €","31,47 €",139,3
B0CYTKGNPM,B0843Q6L5P,ARCOS Pelador Profesional Acero Inoxidable Cromado 130 mm,607000_etq1,"1,771",93,0.46%,1.00%,"2,945",147,0.54%,1.09%,4.45%,3.64%,143,3,8.07%,3.23%,"920,88 €","19,52 €",130,2
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"1,249",16,0.33%,0.17%,"1,839",25,0.34%,0.19%,88.29%,75.00%,126,2,10.09%,12.50%,"1.763,43 €","27,98 €",124,2
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900,"2,275",45,0.59%,0.48%,"2,908",60,0.54%,0.45%,99.89%,100.00%,114,3,5.01%,6.67%,"2.958,78 €","73,46 €",113,3
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"1,677",34,0.44%,0.36%,"2,802",49,0.52%,0.36%,68.64%,57.69%,117,2,6.98%,5.88%,"1.842,75 €","30,98 €",112,2
B0DNNKT1W2,B0DNNFJ5J7,"Cuperinox-Tetera de Cristal con Infusor para Té e Infusiones, Resistente al Calor y Compatible con Microondas ** - Infusion Prestige Collection (350 ml)",26110_,"2,205",58,0.58%,0.62%,"3,063",96,0.56%,0.71%,99.93%,100.00%,117,3,5.31%,5.17%,"1.682,30 €","44,97 €",109,1
B0F1N351DY,B072FGV2YH,Arcos Juego de 6 Cuchillos Mondadores Acero Inoxidable 100 mm,189100,"5,794",180,1.51%,1.93%,"8,235",268,1.52%,1.99%,16.79%,8.99%,110,5,1.90%,2.78%,"1.866,79 €","84,95 €",103,1
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"2,432",38,0.64%,0.41%,"3,323",45,0.61%,0.33%,99.87%,100.00%,103,0,4.24%,0.00%,"3.340,83 €","0,00 €",99,0
B0DNNKT1W2,B0DNNJPRXB,"Cuperinox-Tetera de Cristal con Infusor para Té e Infusiones, Resistente al Calor y Compatible con Microondas ** - Infusion Prestige Collection (550 ml)",26111_,"1,618",45,0.42%,0.48%,"2,354",61,0.43%,0.45%,99.90%,100.00%,89,4,5.50%,8.89%,"1.512,53 €","67,82 €",86,4
B095SDL23Y,B095SDL23Y,Arcos | cuchillos de mesa (6 ud) | cuchillos acero inoxidable con sierra cuchillo chuletero cuchillos chuleteros | Fabricado en España,813000,"1,046",26,0.27%,0.28%,"1,486",34,0.27%,0.25%,100.00%,100.00%,109,7,10.42%,26.92%,"1.800,11 €","115,43 €",82,5
B0DNNL2TZQ,B0DNN57WC1,"CUPERINOX Aceitera de Cristal Antigoteo para Aceite de Oliva, Resistente y Fácil de Limpiar Gourmet Oil Collection (250 Ml)",22022_,827,24,0.22%,0.26%,"1,167",32,0.22%,0.24%,99.90%,100.00%,85,10,10.28%,41.67%,"985,19 €","107,30 €",75,5
