ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,V0020_PACK2,"2,668",130,0.75%,1.46%,"4,179",179,0.84%,1.41%,97.93%,95.80%,726,70,27.21%,53.85%,"11.806,62 €","1.082,15 €",659,42
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"14,675",315,4.14%,3.53%,"20,156",420,4.03%,3.30%,32.69%,4.75%,557,2,3.80%,0.63%,"6.487,86 €","22,98 €",478,1
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"3,868",107,1.09%,1.20%,"6,017",181,1.20%,1.42%,99.58%,99.11%,495,5,12.80%,4.67%,"12.233,41 €","110,72 €",407,3
B06XD39V8J,B06XD39V8J,VINFERMATON – Insecticida Cucarachas y Hormigas Residual 400 ml | Spray Efecto Duradero para Interior y Exterior | Profesional Doméstico | 100 % MADE IN SPAIN,V0012,"2,125",74,0.60%,0.83%,"3,078",98,0.62%,0.77%,57.92%,91.04%,361,34,16.99%,45.95%,"3.504,71 €","324,29 €",256,16
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"5,735",112,1.62%,1.26%,"7,874",162,1.58%,1.27%,99.12%,100.00%,171,4,2.98%,3.57%,"5.130,05 €","119,96 €",168,4
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"10,248",152,2.89%,1.70%,"12,929",200,2.59%,1.57%,98.94%,100.00%,170,1,1.66%,0.66%,"5.524,38 €","32,49 €",167,1
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900fbm,"10,248",152,2.89%,1.70%,"12,929",200,2.59%,1.57%,98.94%,100.00%,148,25,1.44%,16.45%,"4.230,48 €","785,19 €",143,22
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"5,735",112,1.62%,1.26%,"7,874",162,1.58%,1.27%,99.12%,100.00%,149,22,2.60%,19.64%,"3.999,94 €","631,28 €",138,11
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_,"2,574",110,0.73%,1.23%,"4,715",219,0.94%,1.72%,99.16%,100.00%,138,16,5.36%,14.55%,"10.678,37 €","1.314,84 €",135,14
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"1,692",25,0.48%,0.28%,"2,605",43,0.52%,0.34%,72.26%,44.44%,104,5,6.15%,20.00%,"1.586,00 €","76,25 €",102,4
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,864,15,0.24%,0.17%,"1,271",22,0.25%,0.17%,96.77%,100.00%,110,11,12.73%,73.33%,"1.465,54 €","141,69 €",101,2
B0D4WK78XV,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,22105-22106,"1,675",21,0.47%,0.24%,"2,505",28,0.50%,0.22%,75.78%,94.44%,101,2,6.03%,9.52%,"1.210,99 €","23,98 €",101,2
B08GSTDWTC,B08LVVQ3ZQ,"Arcos Serie Nova - Cuchillo para pelar, Acero Inoxidable NITRUM, Envase Ecológico, 3 colores Fucsia, Turquesa y Amarillo",703700_,904,25,0.25%,0.28%,"1,387",42,0.28%,0.33%,99.01%,100.00%,104,4,11.50%,16.00%,"1.091,47 €","41,96 €",93,4
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900fba,"1,940",35,0.55%,0.39%,"2,599",42,0.52%,0.33%,99.62%,100.00%,79,1,4.07%,2.86%,"1.850,41 €","25,99 €",79,1
