ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"39,136",552,5.56%,3.42%,"53,234",778,5.35%,3.36%,27.00%,2.22%,745,1,1.90%,0.18%,"7.172,06 €","9,63 €",711,1
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"5,492",120,0.78%,0.74%,"8,768",193,0.88%,0.83%,99.86%,98.99%,828,18,15.08%,15.00%,"19.646,29 €","416,97 €",665,7
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"4,919",80,0.70%,0.50%,"7,301",121,0.73%,0.52%,89.67%,91.89%,570,76,11.59%,95.00%,"7.402,72 €","976,80 €",495,13
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_fbm,"10,440",342,1.48%,2.12%,"19,037",682,1.91%,2.95%,99.51%,99.76%,329,12,3.15%,3.51%,"27.056,71 €","969,88 €",326,11
B08NW1VQRT,B08NW1VQRT,CUPERINOX Navaja para Setas y Champiñones | Acero Inoxidable | Con Cepillo y Funda Incluida | Micológica,2181,"2,147",31,0.30%,0.19%,"3,021",44,0.30%,0.19%,99.21%,100.00%,318,9,14.81%,29.03%,"3.076,30 €","89,67 €",277,7
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"9,778",169,1.39%,1.05%,"13,722",222,1.38%,0.96%,99.76%,100.00%,246,13,2.52%,7.69%,"7.361,94 €","389,87 €",236,10
B0F1N351DY,B072FGV2YH,Arcos Juego de 6 Cuchillos Mondadores Acero Inoxidable 100 mm,189100,"15,830",372,2.25%,2.31%,"24,379",610,2.45%,2.64%,13.53%,9.21%,242,2,1.53%,0.54%,"4.104,41 €","33,98 €",228,2
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"12,550",292,1.78%,1.81%,"18,646",417,1.87%,1.80%,12.70%,1.09%,262,0,2.09%,0.00%,"3.142,18 €","0,00 €",216,0
B0D4WK78XV,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,22105-22106,"2,033",37,0.29%,0.23%,"2,845",65,0.29%,0.28%,83.25%,100.00%,216,6,10.62%,16.22%,"2.236,34 €","64,44 €",214,5
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"9,778",169,1.39%,1.05%,"13,722",222,1.38%,0.96%,99.76%,100.00%,208,7,2.13%,4.14%,"5.821,85 €","197,25 €",205,7
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"11,571",167,1.64%,1.04%,"14,698",225,1.48%,0.97%,99.71%,100.00%,191,0,1.65%,0.00%,"6.194,31 €","0,00 €",188,0
B08GSTDWTC,B08LVVQ3ZQ,"Arcos Serie Nova - Cuchillo para pelar, Acero Inoxidable NITRUM, Envase Ecológico, 3 colores Fucsia, Turquesa y Amarillo",703700_,"2,384",32,0.34%,0.20%,"3,387",47,0.34%,0.20%,99.84%,100.00%,172,2,7.21%,6.25%,"1.695,99 €","19,98 €",162,2
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900,"3,012",49,0.43%,0.30%,"3,938",61,0.40%,0.26%,99.78%,100.00%,130,4,4.32%,8.16%,"3.371,40 €","103,96 €",130,4
