ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"34,235",500,8.18%,4.97%,"46,035",708,7.90%,4.93%,18.26%,7.38%,521,2,1.52%,0.40%,"5.013,66 €","19,26 €",492,2
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"7,370",195,1.76%,1.94%,"10,916",262,1.87%,1.82%,40.12%,3.14%,408,0,5.54%,0.00%,"4.892,92 €","0,00 €",350,0
B08NW1VQRT,B08NW1VQRT,CUPERINOX Navaja para Setas y Champiñones | Acero Inoxidable | Con Cepillo y Funda Incluida | Micológica,2181,"1,802",45,0.43%,0.45%,"2,578",73,0.44%,0.51%,99.52%,100.00%,333,7,18.48%,15.56%,"3.439,59 €","73,43 €",296,6
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"3,157",91,0.75%,0.91%,"4,874",143,0.84%,0.99%,99.93%,100.00%,351,6,11.12%,6.59%,"9.292,48 €","161,94 €",294,1
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,V0020_PACK2,"1,737",101,0.42%,1.00%,"2,458",135,0.42%,0.94%,92.44%,94.29%,318,39,18.31%,38.61%,"5.219,92 €","635,77 €",291,29
B0F1N351DY,B072FGV2YH,Arcos Juego de 6 Cuchillos Mondadores Acero Inoxidable 100 mm,189100,"6,403",183,1.53%,1.82%,"9,026",271,1.55%,1.89%,50.33%,30.34%,266,0,4.15%,0.00%,"4.401,57 €","0,00 €",256,0
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"1,966",35,0.47%,0.35%,"2,822",46,0.48%,0.32%,98.42%,100.00%,221,6,11.24%,17.14%,"2.960,89 €","79,58 €",215,5
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"2,639",45,0.63%,0.45%,"4,087",68,0.70%,0.47%,74.41%,66.67%,188,8,7.12%,17.78%,"2.944,44 €","121,44 €",185,7
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"6,316",103,1.51%,1.02%,"8,709",142,1.49%,0.99%,99.76%,100.00%,206,30,3.26%,29.13%,"6.158,44 €","899,70 €",182,10
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"9,032",95,2.16%,0.95%,"11,159",127,1.92%,0.88%,99.89%,100.00%,169,0,1.87%,0.00%,"5.420,06 €","0,00 €",169,0
