ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,AVISPAS_PACK_2,"1,209",55,0.26%,0.48%,"1,785",70,0.27%,0.44%,98.43%,100.00%,414,46,34.24%,83.64%,"7.019,36 €","775,42 €",353,29
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"7,562",166,1.61%,1.46%,"10,529",224,1.61%,1.40%,99.87%,100.00%,322,2,4.26%,1.20%,"8.427,49 €","49,98 €",277,1
B0CYTKGNPM,B0CW68KM18,Pelador de Cocina ARCOS - Hoja de Acero Inoxidable | Mango Ergonómico | Herramienta Versátil para Pelar Frutas y Verduras,607300,"1,804",47,0.38%,0.41%,"2,332",58,0.36%,0.36%,96.95%,100.00%,260,12,14.41%,25.53%,"1.915,88 €","85,39 €",249,11
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_fbm,"4,120",123,0.88%,1.08%,"7,546",237,1.15%,1.48%,99.13%,100.00%,249,11,6.04%,8.94%,"22.409,74 €","989,89 €",245,9
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"24,177",383,5.16%,3.37%,"33,353",532,5.10%,3.32%,13.45%,20.50%,237,20,0.98%,5.22%,"2.444,39 €","198,00 €",218,10
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"5,560",106,1.19%,0.93%,"7,824",150,1.20%,0.93%,99.37%,98.96%,200,15,3.60%,14.15%,"5.965,21 €","441,06 €",192,11
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"2,020",41,0.43%,0.36%,"3,238",69,0.49%,0.43%,76.89%,45.00%,169,3,8.37%,7.32%,"2.661,49 €","46,47 €",166,3
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,835,11,0.18%,0.10%,"1,210",17,0.18%,0.11%,93.06%,88.89%,138,5,16.53%,45.45%,"1.931,08 €","69,95 €",137,5
B0DNNKT1W2,B0DNNFJ5J7,"Cuperinox-Tetera de Cristal con Infusor para Té e Infusiones, Resistente al Calor y Compatible con Microondas ** - Infusion Prestige Collection (350 ml)",26110_,"2,410",59,0.51%,0.52%,"3,400",84,0.52%,0.52%,99.67%,100.00%,150,12,6.22%,20.34%,"2.049,16 €","158,28 €",127,2
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900fbm,"3,884",55,0.83%,0.48%,"5,408",72,0.83%,0.45%,99.94%,100.00%,123,10,3.17%,18.18%,"3.662,73 €","302,82 €",123,10
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_,"7,562",166,1.61%,1.46%,"10,529",224,1.61%,1.40%,99.87%,100.00%,145,17,1.92%,10.24%,"3.865,33 €","441,33 €",118,12
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"3,884",55,0.83%,0.48%,"5,408",72,0.83%,0.45%,99.94%,100.00%,118,3,3.04%,5.45%,"3.863,61 €","93,24 €",117,3
B0F9TD2LTH,B09CL776WP,CUPERINOX® Cuchillos de Mesa Acero Inoxidable – Set 12 Cuchillos para Carne con Filo Dentado – Aptos Lavavajillas – Uso Diario y Profesional,15015,"1,396",85,0.30%,0.75%,"2,196",150,0.34%,0.93%,99.59%,98.28%,190,92,13.61%,108.24%,"3.822,06 €","1.768,68 €",103,37
