ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,AVISPAS_PACK_2,"2,061",133,0.64%,1.49%,"2,886",189,0.63%,1.51%,99.23%,100.00%,399,79,19.36%,59.40%,"6.930,93 €","1.332,75 €",344,50
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"2,658",63,0.83%,0.71%,"4,011",87,0.88%,0.69%,99.57%,100.00%,254,7,9.56%,11.11%,"6.874,43 €","207,00 €",212,4
B017HKSTCQ,B00CFN1M6Q,ARCOS Tijeras de Cocina Multiusos 200 mm,809700_FBA,"2,075",78,0.64%,0.87%,"3,224",102,0.71%,0.81%,56.49%,46.67%,203,22,9.78%,28.21%,"2.415,48 €","261,58 €",189,12
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"6,129",115,1.90%,1.29%,"8,675",166,1.91%,1.32%,99.48%,99.08%,196,15,3.20%,13.04%,"5.871,19 €","442,50 €",189,12
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,805109_uss,"7,186",179,2.23%,2.01%,"10,128",228,2.22%,1.82%,25.18%,20.41%,200,15,2.78%,8.38%,"2.398,40 €","179,85 €",167,10
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"2,188",46,0.68%,0.52%,"3,186",60,0.70%,0.48%,99.89%,100.00%,162,6,7.40%,13.04%,"5.339,67 €","197,88 €",161,6
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"6,129",115,1.90%,1.29%,"8,675",166,1.91%,1.32%,99.48%,99.08%,156,10,2.55%,8.70%,"4.673,83 €","294,79 €",155,9
B0G6M1C8V6,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,F22105-22106,"1,133",11,0.35%,0.12%,"1,658",15,0.36%,0.12%,99.67%,100.00%,155,2,13.68%,18.18%,"1.856,77 €","23,98 €",153,2
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900,"1,663",29,0.52%,0.32%,"2,222",37,0.49%,0.30%,99.86%,100.00%,128,3,7.70%,10.34%,"3.322,43 €","77,97 €",126,3
B06XD39V8J,B06XD39V8J,VINFERMATON – Insecticida Cucarachas y Hormigas Residual 400 ml | Spray Efecto Duradero para Interior y Exterior | Profesional Doméstico | 100 % MADE IN SPAIN,V0012_,960,29,0.30%,0.32%,"1,402",39,0.31%,0.31%,42.48%,29.17%,143,6,14.90%,20.69%,"1.101,32 €","46,70 €",117,5
