ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,V0020_PACK2,"2,083",105,0.62%,1.16%,"3,103",159,0.65%,1.22%,87.71%,63.16%,509,57,24.44%,54.29%,"8.490,45 €","926,25 €",463,36
B0F1N351DY,B072FGV2YH,Arcos Juego de 6 Cuchillos Mondadores Acero Inoxidable 100 mm,189100,"4,640",167,1.38%,1.84%,"6,700",226,1.40%,1.73%,68.55%,29.87%,363,2,7.82%,1.20%,"5.987,76 €","32,98 €",338,2
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"3,540",57,1.05%,0.63%,"5,578",75,1.17%,0.58%,67.19%,65.79%,225,9,6.36%,15.79%,"3.444,21 €","132,69 €",214,5
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"2,403",67,0.71%,0.74%,"3,801",109,0.80%,0.84%,99.42%,100.00%,250,6,10.40%,8.96%,"6.752,00 €","161,94 €",214,1
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"1,535",17,0.46%,0.19%,"2,301",25,0.48%,0.19%,96.75%,95.24%,188,6,12.25%,35.29%,"2.535,68 €","80,94 €",184,5
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"7,705",91,2.29%,1.01%,"9,565",115,2.00%,0.88%,99.09%,100.00%,172,0,2.23%,0.00%,"5.583,18 €","0,00 €",171,0
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"7,918",225,2.35%,2.49%,"11,465",339,2.40%,2.60%,19.71%,3.97%,195,3,2.46%,1.33%,"2.338,45 €","35,97 €",171,1
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"6,563",99,1.95%,1.09%,"9,127",132,1.91%,1.01%,99.81%,100.00%,168,1,2.56%,1.01%,"5.033,12 €","24,79 €",167,1
B08GSTDWTC,B08LVVQ3ZQ,"Arcos Serie Nova - Cuchillo para pelar, Acero Inoxidable NITRUM, Envase Ecológico, 3 colores Fucsia, Turquesa y Amarillo",703700_,"1,097",20,0.33%,0.22%,"1,704",32,0.36%,0.25%,99.22%,100.00%,159,2,14.49%,10.00%,"1.668,08 €","20,98 €",145,2
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_fbm,"3,628",144,1.08%,1.59%,"6,450",273,1.35%,2.09%,98.77%,100.00%,140,0,3.86%,0.00%,"12.600,09 €","0,00 €",139,0
