ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"7,229",93,1.48%,0.86%,"10,657",140,1.50%,0.87%,98.54%,100.00%,965,11,13.35%,11.83%,"12.537,35 €","142,91 €",965,11
B08M7BMR2S,B00I9XTLSC,ARCOS Afilador Profesional Manual Cerámica y Carbono Rojo-Negro,610600_2,"29,942",572,6.11%,5.27%,"42,951",874,6.03%,5.42%,13.55%,20.82%,421,9,1.41%,1.57%,"5.729,37 €","120,12 €",414,9
B08M7BMR2S,B08LNRV6N6,"Arcos Afiladores, Afilador de Cuchillos de Mano, Hecho de ABS + TPE, Rodillos Cerámico y Carburo, Color Blanco y Negro",610624_fbm,"3,298",90,0.67%,0.83%,"4,127",110,0.58%,0.68%,99.22%,100.00%,380,17,11.52%,18.89%,"5.203,58 €","229,16 €",375,16
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_,"3,970",105,0.81%,0.97%,"6,565",202,0.92%,1.25%,98.42%,100.00%,420,22,10.58%,20.95%,"10.732,30 €","556,38 €",350,16
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900fbm,"10,291",152,2.10%,1.40%,"13,812",190,1.94%,1.18%,96.47%,100.00%,306,18,2.97%,11.84%,"9.549,07 €","565,26 €",290,9
B0D4WK78XV,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,22105y22106,"2,117",46,0.43%,0.42%,"3,127",86,0.44%,0.53%,99.25%,100.00%,253,11,11.95%,23.91%,"2.730,74 €","120,89 €",250,11
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"8,246",151,1.68%,1.39%,"11,324",207,1.59%,1.28%,98.92%,99.22%,230,10,2.79%,6.62%,"6.741,76 €","298,40 €",228,10
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"2,850",53,0.58%,0.49%,"4,702",65,0.66%,0.40%,80.56%,51.22%,202,6,7.09%,11.32%,"3.028,98 €","89,94 €",198,6
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_,"16,598",381,3.39%,3.51%,"23,198",593,3.26%,3.68%,9.49%,4.74%,177,7,1.07%,1.84%,"1.810,37 €","66,93 €",155,4
B0DNNL2TZQ,B0DNN57WC1,"CUPERINOX Aceitera de Cristal Antigoteo para Aceite de Oliva, Resistente y Fácil de Limpiar Gourmet Oil Collection (250 Ml)",22022_,807,16,0.16%,0.15%,"1,146",19,0.16%,0.12%,99.81%,100.00%,128,2,15.86%,12.50%,"1.278,89 €","19,98 €",123,2
B0DNNL2TZQ,B0DNN4J6Q8,"CUPERINOX Aceitera antigoteo cristal para Aceite de Oliva, Vinagre etc. A prueba de fugas, Aceitera cristal antigoteo tambien aceiteros cocina ideal para Ensaladas, BBQ, cooking oil container (125 ML)",22021_,"1,792",40,0.37%,0.37%,"2,568",56,0.36%,0.35%,99.92%,100.00%,142,11,7.92%,27.50%,"1.276,58 €","98,89 €",119,2
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"8,246",151,1.68%,1.39%,"11,324",207,1.59%,1.28%,98.92%,99.22%,113,1,1.37%,0.66%,"3.388,63 €","29,99 €",113,1
B0DQV6381X,B0DQDQ1DB8,CUPERINOX Jamonero | Jamonero Giratorio | Tabla Cortar Jamon | Jamoneros Profesional | Jamonero Plegable | Tabla Jamon | Cortador de Jamon,SC_20270,"1,540",33,0.31%,0.30%,"2,704",46,0.38%,0.29%,99.76%,100.00%,107,3,6.95%,9.09%,"3.581,94 €","103,98 €",107,3
