ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"40,776",688,9.96%,7.43%,"55,135",993,9.53%,7.47%,16.10%,12.12%,545,7,1.34%,1.02%,"5.295,54 €","67,97 €",518,6
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"4,549",117,1.11%,1.26%,"7,059",186,1.22%,1.40%,99.54%,100.00%,413,2,9.08%,1.71%,"10.088,78 €","45,88 €",358,1
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"1,776",28,0.43%,0.30%,"2,535",34,0.44%,0.26%,94.79%,100.00%,212,5,11.94%,17.86%,"2.762,04 €","64,95 €",209,5
B0D4WK78XV,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,22105y22106,"1,820",34,0.44%,0.37%,"2,711",50,0.47%,0.38%,99.46%,100.00%,210,3,11.54%,8.82%,"2.252,14 €","32,97 €",208,3
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"8,413",99,2.06%,1.07%,"10,663",136,1.84%,1.02%,99.05%,100.00%,199,2,2.37%,2.02%,"6.465,51 €","64,98 €",198,2
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900,"1,799",42,0.44%,0.45%,"2,576",60,0.45%,0.45%,99.43%,100.00%,112,3,6.23%,7.14%,"2.911,74 €","77,97 €",112,3
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"8,646",217,2.11%,2.34%,"12,932",304,2.24%,2.29%,27.82%,22.73%,123,0,1.42%,0.00%,"1.720,77 €","0,00 €",110,0
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"4,826",109,1.18%,1.18%,"6,664",141,1.15%,1.06%,98.83%,100.00%,107,7,2.22%,6.42%,"3.204,48 €","204,98 €",107,7
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,805109_uss,"8,646",217,2.11%,2.34%,"12,932",304,2.24%,2.29%,27.82%,22.73%,113,8,1.31%,3.69%,"1.580,87 €","111,92 €",99,8
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_,"4,549",117,1.11%,1.26%,"7,059",186,1.22%,1.40%,99.54%,100.00%,115,30,2.53%,25.64%,"3.036,25 €","760,70 €",95,20
B07YM65C6J,B007TS6HMQ,ARCOS Pinza para Pescado Acero Inoxidable,605000_caja,622,6,0.15%,0.06%,899,8,0.16%,0.06%,75.94%,66.67%,99,1,15.92%,16.67%,"914,13 €","9,25 €",93,1
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"2,105",34,0.51%,0.37%,"3,313",56,0.57%,0.42%,56.39%,48.48%,97,10,4.61%,29.41%,"1.420,36 €","138,74 €",89,2
