ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"2,143",24,0.55%,0.30%,"3,103",36,0.57%,0.31%,98.72%,100.00%,253,3,11.81%,12.50%,"3.287,73 €","40,23 €",252,3
B0D4WK78XV,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,22105y22106,"1,559",24,0.40%,0.30%,"2,334",49,0.43%,0.42%,98.65%,100.00%,223,2,14.30%,8.33%,"2.450,77 €","21,98 €",221,2
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"5,027",109,1.30%,1.35%,"7,737",188,1.41%,1.60%,44.76%,29.17%,214,7,4.26%,6.42%,"2.994,09 €","97,93 €",193,6
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_,"2,471",75,0.64%,0.93%,"3,982",122,0.73%,1.04%,98.83%,98.65%,212,11,8.58%,14.67%,"5.507,90 €","283,89 €",178,9
B08M7BMR2S,B08LNRV6N6,"Arcos Afiladores, Afilador de Cuchillos de Mano, Hecho de ABS + TPE, Rodillos Cerámico y Carburo, Color Blanco y Negro",610624_fbm,"1,464",28,0.38%,0.35%,"1,778",29,0.32%,0.25%,99.05%,93.75%,173,7,11.82%,25.00%,"2.316,55 €","90,68 €",158,6
B0DNNL2TZQ,B0DNN4J6Q8,"CUPERINOX Aceitera antigoteo cristal para Aceite de Oliva, Vinagre etc. A prueba de fugas, Aceitera cristal antigoteo tambien aceiteros cocina ideal para Ensaladas, BBQ, cooking oil container (125 ML)",22021,"1,716",48,0.44%,0.60%,"2,409",82,0.44%,0.70%,99.86%,100.00%,141,4,8.22%,8.33%,"1.317,53 €","37,40 €",135,4
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"5,252",71,1.36%,0.88%,"6,983",109,1.27%,0.93%,99.06%,100.00%,114,0,2.17%,0.00%,"3.703,32 €","0,00 €",114,0
B07YM65C6J,B007TS6HMQ,ARCOS Pinza para Pescado Acero Inoxidable,605000_caja,540,17,0.14%,0.21%,762,18,0.14%,0.15%,85.01%,100.00%,114,14,21.11%,82.35%,"1.049,71 €","126,26 €",109,11
B09CL776WP,B09CL776WP,CUPERINOX® Cuchillos de Mesa Acero Inoxidable – Set 12 Cuchillos para Carne con Filo Dentado – Aptos Lavavajillas – Uso Diario y Profesional,15015,"1,334",72,0.34%,0.89%,"1,954",101,0.36%,0.86%,99.53%,100.00%,139,50,10.42%,69.44%,"2.342,93 €","847,25 €",92,27
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"35,406",560,9.14%,6.94%,"48,790",781,8.89%,6.64%,3.85%,8.50%,93,8,0.26%,1.43%,"903,41 €","74,50 €",89,7
