ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,AVISPAS_PACK_2,"2,620",145,0.90%,1.73%,"3,786",194,0.92%,1.62%,98.99%,100.00%,598,64,22.82%,44.14%,"10.457,43 €","1.118,64 €",540,46
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"7,293",156,2.51%,1.86%,"9,543",216,2.33%,1.80%,45.21%,64.20%,329,36,4.51%,23.08%,"3.388,76 €","356,02 €",298,31
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,805109_uss,"4,275",145,1.47%,1.73%,"6,297",195,1.54%,1.63%,69.28%,44.09%,365,24,8.54%,16.55%,"4.471,21 €","293,88 €",290,18
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"5,087",127,1.75%,1.51%,"7,357",162,1.79%,1.35%,97.67%,97.14%,178,4,3.50%,3.15%,"5.325,12 €","119,96 €",177,4
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"5,087",127,1.75%,1.51%,"7,357",162,1.79%,1.35%,97.67%,97.14%,163,19,3.20%,14.96%,"4.883,06 €","564,50 €",160,17
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_,"7,293",156,2.51%,1.86%,"9,543",216,2.33%,1.80%,45.21%,64.20%,179,36,2.45%,23.08%,"1.831,95 €","331,54 €",149,17
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"4,275",145,1.47%,1.73%,"6,297",195,1.54%,1.63%,69.28%,44.09%,173,5,4.05%,3.45%,"2.067,38 €","59,95 €",149,2
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"4,206",99,1.45%,1.18%,"5,977",144,1.46%,1.20%,98.97%,98.06%,178,2,4.23%,2.02%,"4.805,41 €","54,00 €",147,1
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,V0020_PACK_Fba,"2,620",145,0.90%,1.73%,"3,786",194,0.92%,1.62%,98.99%,100.00%,153,6,5.84%,4.14%,"2.814,47 €","110,94 €",142,6
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"1,751",32,0.60%,0.38%,"2,816",52,0.69%,0.43%,77.62%,76.92%,152,7,8.68%,21.88%,"2.389,70 €","105,95 €",141,6
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_,"4,206",99,1.45%,1.18%,"5,977",144,1.46%,1.20%,98.97%,98.06%,179,29,4.26%,29.29%,"4.758,71 €","746,21 €",138,14
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"2,275",42,0.78%,0.50%,"3,113",54,0.76%,0.45%,99.75%,100.00%,130,6,5.71%,14.29%,"4.289,78 €","197,94 €",126,4
B07YM65C6J,B007TS6HMQ,ARCOS Pinza para Pescado Acero Inoxidable,605000_caja,617,22,0.21%,0.26%,851,27,0.21%,0.23%,99.07%,89.47%,113,12,18.31%,54.55%,"1.041,30 €","109,37 €",111,10
