Panel de ventas
Última actualización,September 03 2026 6:53:17 PM CEST

Filtrar selección
Fecha,Custom
Desglose de ventas,Total del sitio web de Amazon
Canal de gestión logística,Ambos (Amazon y vendedor)

Instantánea de ventas
Total de artículos de un pedido,Unidades encargadas,Ventas de productos encargados,Promedio de unidades/artículo de un pedido,Promedio de ventas/artículo de un pedido
14088,17208,"328.883,06 €",1.22,23.34
Comparar ventas - Vista de gráfico
Hora,Intervalo de fechas seleccionado (Ventas de productos encargados),Intervalo de fechas seleccionado (Unidades pedidas)
2025-04-30T00:00:00,"729,24 €",40.0
2025-05-01T00:00:00,"927,50 €",45.0
2025-05-02T00:00:00,"721,46 €",45.0
2025-05-03T00:00:00,"839,46 €",45.0
2025-05-04T00:00:00,"1.103,02 €",58.0
2025-05-05T00:00:00,"981,24 €",56.0
2025-05-06T00:00:00,"1.275,39 €",65.0
2025-05-07T00:00:00,"991,95 €",58.0
2025-05-08T00:00:00,"1.258,27 €",63.0
2025-05-09T00:00:00,"1.010,33 €",63.0
2025-05-10T00:00:00,"667,42 €",37.0
2025-05-11T00:00:00,"1.363,61 €",67.0
2025-05-12T00:00:00,"1.101,53 €",66.0
2025-05-13T00:00:00,"1.468,49 €",77.0
2025-05-14T00:00:00,"1.002,72 €",61.0
2025-05-15T00:00:00,"1.136,78 €",55.0
2025-05-16T00:00:00,"1.080,97 €",57.0
2025-05-17T00:00:00,"901,94 €",40.0
2025-05-18T00:00:00,"1.036,25 €",49.0
2025-05-19T00:00:00,"778,20 €",42.0
2025-05-20T00:00:00,"1.016,63 €",49.0
2025-05-21T00:00:00,"828,36 €",41.0
2025-05-22T00:00:00,"819,16 €",42.0
2025-05-23T00:00:00,"816,08 €",39.0
2025-05-24T00:00:00,"760,71 €",43.0
2025-05-25T00:00:00,"676,06 €",35.0
2025-05-26T00:00:00,"785,56 €",36.0
2025-05-27T00:00:00,"1.013,32 €",44.0
2025-05-28T00:00:00,"806,38 €",38.0
2025-05-29T00:00:00,"740,21 €",33.0
2025-05-30T00:00:00,"444,82 €",20.0
2025-05-31T00:00:00,"449,02 €",23.0
2025-06-01T00:00:00,"837,21 €",39.0
2025-06-02T00:00:00,"592,21 €",41.0
2025-06-03T00:00:00,"533,54 €",23.0
2025-06-04T00:00:00,"1.139,77 €",68.0
2025-06-05T00:00:00,"605,59 €",38.0
2025-06-06T00:00:00,"705,51 €",42.0
2025-06-07T00:00:00,"947,85 €",46.0
2025-06-08T00:00:00,"846,88 €",40.0
2025-06-09T00:00:00,"1.039,44 €",59.0
2025-06-10T00:00:00,"1.376,64 €",57.0
2025-06-11T00:00:00,"889,64 €",54.0
2025-06-12T00:00:00,"578,66 €",32.0
2025-06-13T00:00:00,"590,12 €",36.0
2025-06-14T00:00:00,"468,08 €",24.0
2025-06-15T00:00:00,"772,87 €",48.0
2025-06-16T00:00:00,"668,70 €",36.0
2025-06-17T00:00:00,"617,60 €",30.0
2025-06-18T00:00:00,"624,09 €",34.0
2025-06-19T00:00:00,"778,15 €",43.0
2025-06-20T00:00:00,"498,99 €",27.0
2025-06-21T00:00:00,"475,28 €",27.0
2025-06-22T00:00:00,"668,06 €",37.0
2025-06-23T00:00:00,"459,50 €",26.0
2025-06-24T00:00:00,"1.116,72 €",59.0
2025-06-25T00:00:00,"894,37 €",51.0
2025-06-26T00:00:00,"608,06 €",32.0
2025-06-27T00:00:00,"940,91 €",47.0
2025-06-28T00:00:00,"995,76 €",55.0
2025-06-29T00:00:00,"1.071,90 €",54.0
2025-06-30T00:00:00,"880,30 €",43.0
2025-07-01T00:00:00,"1.686,52 €",88.0
2025-07-02T00:00:00,"1.255,62 €",71.0
2025-07-03T00:00:00,"1.132,71 €",60.0
2025-07-04T00:00:00,"920,65 €",47.0
2025-07-05T00:00:00,"1.137,17 €",56.0
2025-07-06T00:00:00,"1.371,13 €",73.0
2025-07-07T00:00:00,"1.340,68 €",51.0
2025-07-08T00:00:00,"1.898,72 €",103.0
2025-07-09T00:00:00,"1.070,32 €",61.0
2025-07-10T00:00:00,"1.019,66 €",52.0
2025-07-11T00:00:00,"972,77 €",50.0
2025-07-12T00:00:00,"852,22 €",47.0
2025-07-13T00:00:00,"568,08 €",30.0
2025-07-14T00:00:00,"841,60 €",43.0
2025-07-15T00:00:00,"1.082,97 €",58.0
2025-07-16T00:00:00,"965,95 €",47.0
2025-07-17T00:00:00,"808,97 €",40.0
2025-07-18T00:00:00,"704,58 €",38.0
2025-07-19T00:00:00,"460,47 €",21.0
2025-07-20T00:00:00,"1.076,95 €",55.0
2025-07-21T00:00:00,"715,00 €",40.0
2025-07-22T00:00:00,"916,72 €",53.0
2025-07-23T00:00:00,"855,06 €",50.0
2025-07-24T00:00:00,"519,38 €",27.0
2025-07-25T00:00:00,"470,55 €",27.0
2025-07-26T00:00:00,"469,22 €",28.0
2025-07-27T00:00:00,"660,11 €",35.0
2025-07-28T00:00:00,"452,81 €",25.0
2025-07-29T00:00:00,"761,50 €",48.0
2025-07-30T00:00:00,"515,50 €",32.0
2025-07-31T00:00:00,"738,48 €",52.0
2025-08-01T00:00:00,"640,77 €",33.0
2025-08-02T00:00:00,"577,02 €",28.0
2025-08-03T00:00:00,"767,21 €",42.0
2025-08-04T00:00:00,"816,50 €",33.0
2025-08-05T00:00:00,"498,74 €",22.0
2025-08-06T00:00:00,"645,89 €",29.0
2025-08-07T00:00:00,"614,33 €",32.0
2025-08-08T00:00:00,"738,06 €",39.0
2025-08-09T00:00:00,"545,16 €",25.0
2025-08-10T00:00:00,"673,28 €",38.0
2025-08-11T00:00:00,"797,59 €",38.0
2025-08-12T00:00:00,"548,68 €",26.0
2025-08-13T00:00:00,"687,01 €",28.0
2025-08-14T00:00:00,"845,38 €",42.0
2025-08-15T00:00:00,"709,55 €",33.0
2025-08-16T00:00:00,"751,66 €",32.0
2025-08-17T00:00:00,"696,94 €",30.0
2025-08-18T00:00:00,"680,66 €",36.0
2025-08-19T00:00:00,"1.008,06 €",48.0
2025-08-20T00:00:00,"619,85 €",32.0
2025-08-21T00:00:00,"711,08 €",34.0
2025-08-22T00:00:00,"921,42 €",49.0
2025-08-23T00:00:00,"842,27 €",40.0
2025-08-24T00:00:00,"979,13 €",39.0
2025-08-25T00:00:00,"1.012,48 €",52.0
2025-08-26T00:00:00,"512,80 €",27.0
2025-08-27T00:00:00,"896,22 €",42.0
2025-08-28T00:00:00,"776,37 €",34.0
2025-08-29T00:00:00,"1.115,58 €",46.0
2025-08-30T00:00:00,"774,08 €",35.0
2025-08-31T00:00:00,"687,69 €",30.0
2025-09-01T00:00:00,"1.055,98 €",46.0
2025-09-02T00:00:00,"816,75 €",39.0
2025-09-03T00:00:00,"730,01 €",32.0
2025-09-04T00:00:00,"388,68 €",21.0
2025-09-05T00:00:00,"941,64 €",41.0
2025-09-06T00:00:00,"575,57 €",31.0
2025-09-07T00:00:00,"1.348,15 €",61.0
2025-09-08T00:00:00,"678,68 €",33.0
2025-09-09T00:00:00,"692,91 €",36.0
2025-09-10T00:00:00,"725,32 €",39.0
2025-09-11T00:00:00,"529,56 €",31.0
2025-09-12T00:00:00,"443,84 €",22.0
2025-09-13T00:00:00,"838,99 €",40.0
2025-09-14T00:00:00,"615,83 €",34.0
2025-09-15T00:00:00,"832,43 €",38.0
2025-09-16T00:00:00,"749,04 €",40.0
2025-09-17T00:00:00,"454,59 €",28.0
2025-09-18T00:00:00,"587,31 €",32.0
2025-09-19T00:00:00,"295,18 €",20.0
2025-09-20T00:00:00,"731,21 €",37.0
2025-09-21T00:00:00,"1.034,26 €",57.0
2025-09-22T00:00:00,"683,40 €",34.0
2025-09-23T00:00:00,"627,24 €",35.0
2025-09-24T00:00:00,"1.116,15 €",54.0
2025-09-25T00:00:00,"310,91 €",21.0
2025-09-26T00:00:00,"803,33 €",39.0
2025-09-27T00:00:00,"841,87 €",42.0
2025-09-28T00:00:00,"974,69 €",52.0
2025-09-29T00:00:00,"954,22 €",51.0
2025-09-30T00:00:00,"765,65 €",42.0
2025-10-01T00:00:00,"1.017,80 €",57.0
2025-10-02T00:00:00,"873,29 €",50.0
2025-10-03T00:00:00,"605,01 €",33.0
2025-10-04T00:00:00,"992,23 €",56.0
2025-10-05T00:00:00,"1.237,81 €",62.0
2025-10-06T00:00:00,"1.458,40 €",55.0
2025-10-07T00:00:00,"1.122,48 €",60.0
2025-10-08T00:00:00,"1.308,10 €",71.0
2025-10-09T00:00:00,"772,32 €",40.0
2025-10-10T00:00:00,"834,20 €",39.0
2025-10-11T00:00:00,"776,00 €",40.0
2025-10-12T00:00:00,"1.159,48 €",58.0
2025-10-13T00:00:00,"596,16 €",26.0
2025-10-14T00:00:00,"852,76 €",47.0
2025-10-15T00:00:00,"681,08 €",38.0
2025-10-16T00:00:00,"622,52 €",31.0
2025-10-17T00:00:00,"755,39 €",41.0
2025-10-18T00:00:00,"683,28 €",41.0
2025-10-19T00:00:00,"766,25 €",37.0
2025-10-20T00:00:00,"662,49 €",39.0
2025-10-21T00:00:00,"611,47 €",35.0
2025-10-22T00:00:00,"649,55 €",42.0
2025-10-23T00:00:00,"500,93 €",24.0
2025-10-24T00:00:00,"773,46 €",39.0
2025-10-25T00:00:00,"569,74 €",30.0
2025-10-26T00:00:00,"549,85 €",29.0
2025-10-27T00:00:00,"950,57 €",51.0
2025-10-28T00:00:00,"605,61 €",37.0
2025-10-29T00:00:00,"501,73 €",29.0
2025-10-30T00:00:00,"753,93 €",36.0
2025-10-31T00:00:00,"622,60 €",38.0
2025-11-01T00:00:00,"1.286,75 €",47.0
2025-11-02T00:00:00,"1.131,67 €",57.0
2025-11-03T00:00:00,"676,24 €",44.0
2025-11-04T00:00:00,"979,74 €",56.0
2025-11-05T00:00:00,"901,24 €",53.0
2025-11-06T00:00:00,"881,82 €",51.0
2025-11-07T00:00:00,"821,40 €",50.0
2025-11-08T00:00:00,"627,01 €",44.0
2025-11-09T00:00:00,"1.104,00 €",59.0
2025-11-10T00:00:00,"728,95 €",41.0
2025-11-11T00:00:00,"1.069,78 €",68.0
2025-11-12T00:00:00,"1.136,90 €",57.0
2025-11-13T00:00:00,"1.448,59 €",71.0
2025-11-14T00:00:00,"1.067,80 €",57.0
2025-11-15T00:00:00,"1.046,67 €",48.0
2025-11-16T00:00:00,"1.062,47 €",47.0
2025-11-17T00:00:00,"884,17 €",38.0
2025-11-18T00:00:00,"838,53 €",45.0
2025-11-19T00:00:00,"791,37 €",38.0
2025-11-20T00:00:00,"1.511,57 €",72.0
2025-11-21T00:00:00,"1.555,23 €",85.0
2025-11-22T00:00:00,"988,65 €",46.0
2025-11-23T00:00:00,"2.337,50 €",114.0
2025-11-24T00:00:00,"1.346,97 €",80.0
2025-11-25T00:00:00,"1.313,23 €",73.0
2025-11-26T00:00:00,"1.806,29 €",89.0
2025-11-27T00:00:00,"1.152,18 €",59.0
2025-11-28T00:00:00,"1.939,29 €",103.0
2025-11-29T00:00:00,"1.521,20 €",77.0
2025-11-30T00:00:00,"2.002,55 €",112.0
2025-12-01T00:00:00,"1.845,62 €",105.0
2025-12-02T00:00:00,"806,93 €",44.0
2025-12-03T00:00:00,"1.595,71 €",79.0
2025-12-04T00:00:00,"878,24 €",49.0
2025-12-05T00:00:00,"1.182,72 €",52.0
2025-12-06T00:00:00,"561,25 €",29.0
