ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B078JNNC71,B07T6J5JWM,CUPERINOX - Cafetière Italienne Induction 2 Tasses Inox Tous Feux,25035,971,7,0.32%,0.09%,"1,338",9,0.31%,0.08%,95.31%,100.00%,51,0,5.25%,0.00%,"1.485,18 €","0,00 €",51,0
B0DT6ZPGVQ,B0DT6ZPGVQ, ,27008,561,5,0.19%,0.06%,745,7,0.18%,0.06%,99.40%,100.00%,49,0,8.73%,0.00%,"727,20 €","0,00 €",49,0
B077SZC65X,B005LR7726,Arcos Séries Prochef - Ciseaux de Cuisine - Lame Acier Inoxydable 215 mm - Manche Polypropylène Couleur Noir et Rouge,185601_barras_Arcos,590,31,0.20%,0.40%,841,44,0.20%,0.40%,50.28%,25.00%,54,3,9.15%,9.68%,"458,46 €","25,47 €",44,3
B0C83T2NC3,B005LR7EP6,Arcos Aiguiseur Professionnel de Couteaux. Couleur Noire. Fabriqué en ABS. 110 x 90 x 150 mm. Série Aiguiseurs. Aiguisez Vos Couteaux avec Sécurité et Précision,610000_,"3,449",109,1.15%,1.39%,"4,630",149,1.09%,1.34%,43.87%,21.90%,44,0,1.28%,0.00%,"2.932,44 €","0,00 €",43,0
B0BJPYW95J,B0BJPYW95J,Tire-bouchon ARCOS zinc + chrome coffret cadeau,607500_,532,3,0.18%,0.04%,792,3,0.19%,0.03%,68.85%,100.00%,48,0,9.02%,0.00%,"2.159,52 €","0,00 €",43,0
B096Z98SF8,B08G8M6QDS,Lot de 4 couteaux à viande Arcos en acier inoxydable. Emballage écologique.,809500_,718,12,0.24%,0.15%,956,14,0.23%,0.13%,94.51%,100.00%,56,0,7.80%,0.00%,"1.351,92 €","0,00 €",42,0
B0DNRBQHLF,B0DNNFGWNJ,"CUPERINOX Bouteille Huile, Huilier en Verre Anti-Goutte pour Huile d'olive, 500 ML Bouteille en Verre pour Huile d'olive et Vinaigre",22023,229,2,0.08%,0.03%,309,2,0.07%,0.02%,98.84%,0.00%,50,0,21.83%,0.00%,"777,62 €","0,00 €",42,0
B0DP5G2L5W,B0DNNFJ5J7,"Cuperinox Théière en verre borosilicate avec infuseur pour thé et infusions, résistante à la chaleur et compatible micro-ondes- Infusion Prestige Collection (350 ml)",26110_,"1,383",27,0.46%,0.35%,"1,740",41,0.41%,0.37%,99.57%,100.00%,66,32,4.77%,118.52%,"957,71 €","456,47 €",42,9
B0DP5G2L5W,B0DNNJPGTY,"Cuperinox Théière en verre borosilicate avec infuseur pour thé et infusions, résistante à la chaleur et compatible micro-ondes- Infusion Prestige Collection (750 ml)",26112_,420,8,0.14%,0.10%,562,8,0.13%,0.07%,100.00%,100.00%,41,2,9.76%,25.00%,"750,59 €","34,81 €",41,2
B0DNRBQHLF,B0DNN4J6Q8,"CUPERINOX Bouteille Huile, Huilier en Verre Anti-Goutte pour Huile d'olive, 125 ML Bouteille en Verre pour Huile d'olive et Vinaigre",22021,312,7,0.10%,0.09%,414,7,0.10%,0.06%,99.72%,100.00%,54,6,17.31%,85.71%,"619,46 €","60,94 €",38,2
