Región,Nombre de la campaña,ID de la campaña,País,Código de estado,Estado,Tipo,Segmentación,Fecha de inicio de la campaña,Fecha de finalización de la campaña,Importe del presupuesto de la campaña (convertido),Importe del presupuesto de la campaña,CPM (convertido),CPM,Ajuste de la puja por el top de búsquedas,Clics,CTR,Coste total (convertido),Coste total,CPC (convertido),CPC,Vistas de páginas de detalles del producto (nuevos para la marca),Añadir a la cesta,Añadir a la cesta (nuevos para la marca),Búsquedas de marca,Búsquedas de marca (nuevos para la marca),Vistas a la página de la Brand Store (nuevos para la marca),Compras,Ventas (convertido),Ventas,ROAS,Porcentaje de impresiones del top de búsquedas
ACTIVADA,AZ - SP - ARCOS-Jamoneros - AUTO,A02815353FYTKN8D6MRPX,España,CAMPAIGN_STATUS_ENABLED,Mostrando,SP,AUTOMATIC,20/04/2021,,"4,00 €","4,00 €",,,0,2901,"0,0078","1141,04 €","1141,04 €","0,39 €","0,39 €",0,0,0,0,0,0,307,"6585,91 €","6585,91 €",5.771848489097673,<5%
FINALIZADA,814500_dia_madre,A03275512UQPPO288UEEG,España,ENDED,Finalizada,SP,MANUAL,24/04/2021,29/04/2021,"5,00 €","5,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
ACTIVADA,AZ - SP - ARCOS-Cuchillería Cocina - PT - 813500 vs 807400,A00845012FCZDUUW8XT2J,España,CAMPAIGN_STATUS_ENABLED,Mostrando,SP,MANUAL,20/05/2021,,"1,00 €","1,00 €",,,0,947,"0,0218","281,48 €","281,48 €","0,30 €","0,30 €",0,0,0,0,0,0,123,"3495,22 €","3495,22 €",12.417294301548953,"19,10%"
EN PAUSA,8135000,A06973041H8212UF1CK8R,España,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,23/05/2021,,"4,50 €","4,50 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,8155500 PRIME DAY 21,A0254711U6YL13G4SLL5,España,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,09/06/2021,,"1,00 €","1,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
FINALIZADA,257000,A01252331ZDTLTVKRDRFL,España,ENDED,Finalizada,SP,AUTOMATIC,16/06/2021,01/07/2021,"2,00 €","2,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
FINALIZADA,CUBERTERIA_PRIME_DAY,A08782143ASM01R0SI143,España,ENDED,Finalizada,SP,AUTOMATIC,16/06/2021,31/08/2022,"1,00 €","1,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,ROSAS_PRIMEDAYS,A09957523W4TJON5STE80,España,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,16/06/2021,,"1,50 €","1,50 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,835800_PRIMEDYS,A055546736T5M94LYRA5F,España,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,16/06/2021,30/09/2022,"2,00 €","2,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
FINALIZADA,151811,A07842232A28KFBRD9GKJ,España,ENDED,Finalizada,SP,AUTOMATIC,16/06/2021,31/01/2022,"2,00 €","2,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
