ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09X224PH6,B08MV1BJ5Z,Arcos Serie Nordika - Coltello da Chef Coltello da Cucina - Acciaio Inossidabile Nitrum - Lama di 140 mm - Manico in Legno Ovengkol FSC Naturale al 100% - Confezione Riciclata al 100%,165400,152,5,0.04%,0.04%,200,9,0.04%,0.05%,48.31%,12.50%,3,0,1.97%,0.00%,"77,97 €","0,00 €",3,0
B0987MG3JQ,B0987MG3JQ,Arcos Coltelli da carne | Coltelli per carne ad arco filo liscio | 6 pezzi | coltelli da carne ad arco | Lavabili in lavastoviglie | Alta resistenza | Acciaio inossidabile | Manico PP | Nero,814200_fba,89,2,0.02%,0.02%,134,2,0.03%,0.01%,98.26%,0.00%,3,0,3.37%,0.00%,"59,97 €","0,00 €",3,0
B096PQVMLG,B09HBWSBN1,Arcos Serie Maitre - Set coltelli da cucina - Lama in acciaio inossidabile Nitrum - Manico in polipropilene (Nero + coltello da prosciutto),854100,115,2,0.03%,0.02%,139,2,0.03%,0.01%,100.00%,100.00%,3,0,2.61%,0.00%,"149,97 €","0,00 €",3,0
B093MJF2HD,B09L4YNBZZ,Arcos prosciutto professionale | Coltello prosciutto in acciaio Nitrum | Manico nero | Serie Maitre | Lama flessibile e liscia | 275 mm | Acciaio inossidabile,856500FBM,538,18,0.14%,0.15%,695,25,0.13%,0.15%,96.98%,95.00%,3,1,0.56%,5.56%,"74,76 €","24,78 €",3,1
B09LYZ5G5S,B09LYZ5G5S,CUPERINOX Deluxe - Caffettiera Induzione 6 Tazze Moka Acciaio Inox,25052,333,5,0.09%,0.04%,454,6,0.09%,0.04%,99.74%,100.00%,3,0,0.90%,0.00%,"89,23 €","0,00 €",3,0
B0DNQRZ3BN,B0DNQRZ3BN,"CUPERINOX Supporto per prosciutto in acciaio inox professionale con base antiscivolo per prosciutto e palette, con coltello | prosciutto Elite Collection",20260_fbm,323,12,0.09%,0.10%,422,15,0.08%,0.09%,98.98%,100.00%,3,0,0.93%,0.00%,"74,97 €","0,00 €",3,0
B0DNQX2BZN,B0DNQX2BZN,"CUPERINOX | Supporto per prosciutto in bambù pieghevole e girevole con coltello professionale, Affilacoltelli copri prosciutto| Prosciutto Elite Collection",20270_fbm,245,14,0.07%,0.12%,356,22,0.07%,0.13%,98.39%,100.00%,3,0,1.22%,0.00%,"149,97 €","0,00 €",3,0
B0DNT3NVG8,B0DNT3NVG8,"CUPERINOX Thermal Collection - Tazza termica da viaggio, 280 ml, con coperchio ermetico, in acciaio inox, isolamento, per caffè o tè, ideale per trasportare e mantenere bevande calde o fredde,",26001,268,3,0.07%,0.03%,317,3,0.06%,0.02%,99.66%,100.00%,3,0,1.12%,0.00%,"41,97 €","0,00 €",3,0
B0DT75PQN7,B0DT75PQN7, ,27017_,65,2,0.02%,0.02%,79,2,0.01%,0.01%,100.00%,100.00%,3,0,4.62%,0.00%,"46,97 €","0,00 €",3,0
B0DTZ1X5QW,B0DTZ1X5QW,"HENDI Chafing Dish Elettrico UNIQ, 12,5L, Beige",H470442,468,102,0.12%,0.88%,618,141,0.12%,0.84%,40.93%,17.56%,6,6,1.28%,5.88%,"1.222,22 €","1.222,22 €",3,3
B0F9KXQKLG,B0F9KXQKLG,"CUPERINOX Coltelli Tavola, coltello carne, coltello burro, set 24 pezzi, acciaio inossidabile, lama con tagliente e sega, coltello spalmato. Lavabile in lavastoviglie Manico ergonomico",20043-24,58,3,0.02%,0.03%,70,3,0.01%,0.02%,100.00%,100.00%,3,1,5.17%,33.33%,"52,77 €","16,39 €",3,1
B0DHHMBPW6,B0044R87ZA,"Arcos Coltello Mondador in Acciaio Inossidabile per Cucina Professionale – Ideale per Pelare Frutta e Verdura, Manico Ergonomico in Poliossimetilene, Lama da 150 mm – Nero, Serie Maitre",150700,81,0,0.02%,0.00%,102,0,0.02%,0.00%,36.84%,0.00%,4,0,4.94%,0.00%,"39,40 €","0,00 €",2,0
B0BR8YV5SQ,B005LR68DU,"Arcos Coltello Jamonero con Alveoli – Lama da 250 mm, Utilizzato per Tagliare o Intagliare Vari Tipi di Alimenti con Precisione e Facilità – Nero, Serie Riviera",231000,"1,063",41,0.28%,0.35%,"1,555",54,0.29%,0.32%,11.64%,7.50%,2,0,0.19%,0.00%,"73,98 €","0,00 €",2,0
B0DGZ1G8TR,B005LR73R0,ARCOS Set Coltelli da Bistecca Manico Legno 110 mm,372000,"2,417",64,0.64%,0.55%,"3,221",76,0.61%,0.46%,2.31%,14.81%,3,0,0.12%,0.00%,"77,97 €","0,00 €",2,0
B017HKJ4T8,B007TS67Q2,"Arcos Coltello Chef in Acciaio Inossidabile – Ideale per Tagliare e Pelare Alimenti Piccoli, Manico Ergonomico in Poliossimetilene, Lama da 120 mm – Serie Universal, Colore Nero",280304_fba,"1,329",25,0.35%,0.22%,"1,703",33,0.32%,0.20%,3.09%,0.00%,2,0,0.15%,0.00%,"27,98 €","0,00 €",2,0
B00HX2W9I4,B00HX2W9I4,MORSA PORTA PROSCIUTTO PORTAPROSCIUTTO IN LEGNO MODELLO GONDOLA - NOVITA',20200,34,0,0.01%,0.00%,49,0,0.01%,0.00%,100.00%,0.00%,2,0,5.88%,0.00%,"34,56 €","0,00 €",2,0
B0DVCBFHLJ,B071S7PMLT,"Arcos Set di Coltelli per Sbucciare in Acciaio Inossidabile, Manico Ergonomico in Polipropilene, per Frutta, Verdura e Tuberi, Verde, Serie Nova",189421,124,1,0.03%,0.01%,148,1,0.03%,0.01%,36.23%,100.00%,2,0,1.61%,0.00%,"17,98 €","0,00 €",2,0
B07R91GHTM,B07D75K6ZR,"Hendi 759240 Porzionatore per Gelato Profi Line, 1/30",H759240,61,9,0.02%,0.08%,67,13,0.01%,0.08%,36.92%,92.31%,3,3,4.92%,33.33%,"102,06 €","102,06 €",2,2
B07DC8JHV4,B07DC8JHV4,Arcos Serie Manhattan - Coltello Vegetale Coltello Verdura - Acciaio Inossidabile Forgiato Nitrum 130 mm - Manico Polioxymetilene (Pom) Colore Nero (Filo Seta),161100,32,0,0.01%,0.00%,57,0,0.01%,0.00%,92.73%,0.00%,2,0,6.25%,0.00%,"47,98 €","0,00 €",2,0
B0976CKGTB,B07DQRFDMB,"Arcos Coltello Santoku Forgiato in Acciaio Inossidabile – Coltello da Cucina Affilato Giapponese per Pesce, Carne e Verdure – Manico Ergonomico in Poliossimetilene, Lama da 190 mm – Nero, Manhattan",161600_etq,106,1,0.03%,0.01%,134,2,0.03%,0.01%,53.23%,100.00%,2,0,1.89%,0.00%,"73,98 €","0,00 €",2,0
B07JWM27F4,B07JWM27F4,"Arcos Set Coltelli da Cucina Professionali Forgiati – 3 Coltelli da Cucina per Tagliare e Pelare gli Alimenti – Manico Ergonomico in Poliossimetilene, Serie Riviera, Colore Rosa",855100,92,3,0.02%,0.03%,145,17,0.03%,0.10%,91.30%,0.00%,2,0,2.17%,0.00%,"149,98 €","0,00 €",2,0
B096PQVMLG,B08BX3WTPP,Arcos Serie Maitre - Set coltelli da cucina - Lama in acciaio inossidabile Nitrum - Manico in polipropilene (Bianco),152624,59,0,0.02%,0.00%,84,0,0.02%,0.00%,98.68%,0.00%,2,0,3.39%,0.00%,"73,98 €","0,00 €",2,0
B08G8QCM5H,B08G8QCM5H,ARCOS coltello pelapatate | 6 PEZZI | coltello sbucciare patate coltelli | Lama 100 mm | Nero | coltello archi pelapatate acciaio inossidabile,816500_,45,2,0.01%,0.02%,54,2,0.01%,0.01%,96.00%,100.00%,2,0,4.44%,0.00%,"39,98 €","0,00 €",2,0
B08JCVQ4QL,B08JCVQ4QL,"Arcos Serie Nice - Set coltelli da cucina, 6 pezzi, coltelli per verdure 110 mm, + coltello da tavolo, contenitore ecologico al 100%, acciaio inossidabile NITRUM",809400_,61,1,0.02%,0.01%,77,1,0.01%,0.01%,94.44%,100.00%,2,0,3.28%,0.00%,"43,98 €","0,00 €",2,0
B08LVZCG23,B08LVZCG23,Arcos Set di coltelli da cucina rosa | 3 pezzi | Coltello da chef per sbucciare verdure | Edizione limitata | Solidaria,814500_fba,114,3,0.03%,0.03%,156,8,0.03%,0.05%,99.26%,100.00%,2,0,1.75%,0.00%,"69,98 €","0,00 €",2,0
B08M5K93QF,B08M5K93QF,"Arcos | Set di coltelli da dessert, 6 pezzi, coltello da dessert e da tavola, lama da 105 mm, acciaio inox martensitico, manico in polipropilene, lavabile in lavastoviglie",703500_etq,64,1,0.02%,0.01%,84,1,0.02%,0.01%,97.44%,0.00%,2,0,3.13%,0.00%,"21,98 €","0,00 €",2,0
