ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B08M9NWMW8,B08M9NWMW8,Arcos Juego de Cuchillos de Cocina Profesional y Afilador | 7 Piezas | Acero Inoxidable | Taco de Madera | Serie Niza | Uso Cotidiano | Apto para Lavavajillas,835800FBM,"11,766",223,0.30%,0.21%,"17,307",310,0.31%,0.21%,99.38%,99.48%,473,27,4.02%,12.11%,"25.847,45 €","1.451,16 €",461,19
B0DNNL2TZQ,B0DNNFGWNJ,"CUPERINOX Aceitera de Cristal Antigoteo para Aceite de Oliva, Resistente y Fácil de Limpiar Gourmet Oil Collection (500 Ml)",22023_,"4,621",173,0.12%,0.16%,"6,517",239,0.12%,0.16%,99.42%,99.42%,503,49,10.89%,28.32%,"7.341,56 €","607,22 €",460,34
B0DNNKT1W2,B0DNNJPRXB,"Cuperinox-Tetera de Cristal con Infusor para Té e Infusiones, Resistente al Calor y Compatible con Microondas ** - Infusion Prestige Collection (550 ml)",26111_,"7,547",191,0.19%,0.18%,"10,782",286,0.19%,0.19%,99.85%,100.00%,471,15,6.24%,7.85%,"7.868,00 €","245,11 €",437,14
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900fbm,"22,564",402,0.57%,0.38%,"31,575",545,0.57%,0.36%,99.86%,99.39%,430,54,1.91%,13.43%,"13.666,86 €","1.725,64 €",426,53
B0GTZB24Q5,B0GTZB24Q5,"VINFERMATON- Fregasuelos Insecticida Pack 2×1L | Antihormigas y Anticucarachas | Elimina Hormigas, Cucarachas y Arañas |Uso Directo en Zócalos y Suelos| Friegasuelos Aroma Lavanda |100% MADE IN SPAIN",FriegasuelosInsecticida_Pack2,"5,842",151,0.15%,0.14%,"8,099",214,0.15%,0.14%,98.65%,100.00%,455,33,7.79%,21.85%,"6.750,90 €","459,57 €",419,23
B017HKSTCQ,B00CFN1M6Q,ARCOS Tijeras de Cocina Multiusos 200 mm,809700_,"21,934",717,0.56%,0.68%,"32,729","1,024",0.59%,0.68%,20.45%,18.52%,538,147,2.45%,20.50%,"6.155,12 €","1.474,02 €",411,32
B0DQV6381X,B0GCX89NVM,"CUPERINOX - Soporte Jamonero Profesional de Acero Inoxidable | Sistema Basculante y Cabezal Giratorio | Estabilidad, Corte Ergonómico y Fácil Limpieza | Apto para Jamones y Paletillas|Elite Collection",20280,"9,355",267,0.24%,0.25%,"16,150",458,0.29%,0.30%,99.70%,100.00%,413,19,4.41%,7.12%,"37.461,84 €","1.723,72 €",406,18
B0752X4WZ6,B017DLMFXS,ARCOS Pinzas para Emplatar Acero Inoxidable 200 mm,606300FBM,"30,065",752,0.77%,0.71%,"41,058","1,015",0.74%,0.68%,16.83%,14.71%,396,32,1.32%,4.26%,"4.594,31 €","367,10 €",368,18
B0DKP7F29P,B0DJBZ1M2L,Arcos Serie Samoa Iconic | Sarten Antiadherente Cerámico 24 cm | Aluminio Forjado | Apta cualquier cocina | Mango Acero Inoxidable | Apta lavavajillas | Color Beige | LIBRE DE (PFOA/PTFE/PFOS),716324,"7,859",169,0.20%,0.16%,"11,504",260,0.21%,0.17%,93.87%,97.56%,375,14,4.77%,8.28%,"14.335,90 €","533,23 €",367,14
B0752X1ZCK,B07G77NN26,Arcos Cuchillos de Mesa - Caja de 12 uds Cuchillo Chuletero Cuchillo de Mesa - Hoja de Acero Inoxidable NITRUM 110 mm - Mango de Nylon - Color Negro (12 uds),803000_fmb,"8,828",229,0.22%,0.22%,"13,383",342,0.24%,0.23%,92.42%,97.11%,381,37,4.32%,16.16%,"11.017,15 €","1.063,07 €",343,24
B0GY2G2Y86,B08JCVQ4QL,"Arcos Series Niza - Juego de Cuchillos Cocina, 6 Piezas, Cuchillos Verduras 110 mm, + Cuchillo Mesa, Envase 100% Ecológico, Acero Inoxidable NITRUM",809400,"7,270",174,0.19%,0.16%,"10,807",285,0.19%,0.19%,99.49%,100.00%,369,15,5.08%,8.62%,"7.374,99 €","298,53 €",340,12
B0FH2NLMGN,B0FH2NLMGN,VINFERMATON Insecticida Hormigas y Cucarachas Residual | Antihormigas | Pack 2×400 ml | Efecto hasta 1 año | Interior y Exterior | Profesional Doméstico | 100% MADE IN SPAIN,V0012_PACK2,"2,986",113,0.08%,0.11%,"4,183",151,0.08%,0.10%,91.49%,67.53%,377,30,12.63%,26.55%,"5.591,16 €","444,50 €",339,24
B0FHQJSLGJ,B0FHQJSLGJ,"VINFERMATON - Insecticida Antipolillas Perfumado | Pack 3 x 300 ml | Protección para Armarios, Ropa y Tejidos | Elimina Polillas y Larvas | Aroma Agradable | Uso en Ambientes y Textiles",V1308_PACK3,"3,182",64,0.08%,0.06%,"4,587",88,0.08%,0.06%,99.12%,91.67%,352,13,11.06%,20.31%,"4.507,87 €","164,44 €",334,12
B0H6BQ4BG5,B0H3Q5DQZ4,VINFERMATÓN Pack 2 Insecticida Mosquitos y Moscas Concentrado Matón PS 250 ml | Spray para Insectos Voladores |Acción Inmediata|Con Piretrinas Sintéticas|Formato Ligero con Dosificación Controlad,MATONPS_PACK2,"1,688",89,0.04%,0.08%,"2,461",141,0.04%,0.09%,93.75%,98.98%,479,81,28.38%,91.01%,"7.463,68 €","1.132,60 €",330,33
B0CVH8PC99,B0CQTJ6T66,"CUPERINOX® Cuchillos de Mesa Acero Inoxidable – Set Profesional 12 Piezas con Hoja Serrada de 11 cm y Mango Ergonómico Antideslizante – Para Carne, Verduras y Pescado",99922,"6,497",273,0.17%,0.26%,"9,135",370,0.16%,0.25%,99.85%,100.00%,366,37,5.63%,13.55%,"4.353,44 €","439,57 €",313,30
