ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09F9MH34D,B09F9MH34D,"Arcos Serie Cuchillos de Mesa Chuleteros, Mango de Polipropileno, Hoja 110 mm, Apto para Lavavajillas, Negro, 6 Piezas",805109_6piezas,851,18,0.02%,0.02%,"1,112",26,0.02%,0.02%,93.61%,100.00%,42,5,4.94%,27.78%,"542,61 €","62,98 €",38,4
B0G4RT6HMS,B0G1ZZYNX6,"BIOLEAF – Limpiacristales Pack 2×750 ml (1,5 L) – Sin Marcas ni Huellas – Brillo en Cristales, Espejos y Ventanas – Secado Rápido – Biodegradable – Sin Disruptores Endocrinos",2651,283,3,0.01%,0.00%,358,3,0.01%,0.00%,99.38%,100.00%,38,0,13.43%,0.00%,"373,12 €","0,00 €",38,0
B06XB92VRH,B00YU2ZS1A,CUPERINOX Cafetera Italiana Induccion Espresso Acero Inoxidable 6 Tazas,25033,877,26,0.02%,0.02%,"1,129",32,0.02%,0.02%,93.58%,89.29%,37,1,4.22%,3.85%,"651,25 €","18,19 €",37,1
B0788R5C2F,B0788R5C2F,Wins 019 Desincrustante Máquinas. Envase 5 L. Producto ácido para la eliminación de incrustaciones de cal y óxido en máquinas lavavajillas.,BM-7KH8-TWCU,540,43,0.01%,0.04%,726,71,0.01%,0.04%,92.13%,100.00%,46,14,8.52%,32.56%,"908,49 €","276,49 €",37,8
B0FWM351K4,B09P8M12S3,"CUPERINOX® Couture Series - Tijera Costura Profesional 12,5 cm | Acero Inoxidable de Alta Precisión | Corte Fino y Duradero | Uso Doméstico y Profesional",21961,746,24,0.02%,0.02%,982,29,0.02%,0.02%,92.20%,84.62%,42,9,5.63%,37.50%,"333,71 €","61,70 €",37,5
B08VRP7CR7,B09XMVTWLT,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos Carne Cuchillo chuleteros | Cubiertos Acero Inoxidable | Hoja 110 mm | Mango Redondo y Forma Ovalada | monobock | Caja Envase Ecológico (Filo Liso),830000_,"1,730",52,0.04%,0.05%,"2,836",77,0.05%,0.05%,99.84%,100.00%,42,1,2.43%,1.92%,"1.385,01 €","32,99 €",37,1
B0CZXS1ZHN,B0CZXS1ZHN,"HENDI Olla de hierro fundido con 3 patas, caldero tipo potjie sudafricano, con tapa y asa, para fuego abierto y horno, 6L, ⌀245x(H)280mm",H629291,"4,040",119,0.09%,0.10%,"5,907",186,0.10%,0.11%,82.66%,64.71%,37,4,0.92%,3.36%,"2.204,70 €","239,00 €",37,4
B005LR65BK,B005LR65BK,Arcos Cuchillo Negro 100 mm,230200_,"2,917",60,0.07%,0.05%,"4,331",78,0.07%,0.05%,19.57%,16.28%,38,0,1.30%,0.00%,"760,61 €","0,00 €",36,0
B075ZWHQLQ,B075ZWHQLQ,Wins - Desengrasante Limpiador Profesional 001 - Garrafa 5L,WINS001,630,27,0.01%,0.02%,877,37,0.01%,0.02%,64.94%,92.86%,46,10,7.30%,37.04%,"616,82 €","133,58 €",36,5
B07DFK4T6L,B07DFK4T6L,"Arcos Cuchillo Deshuesador Profesional - Hoja Silk Edge Acero Inoxidable Nitrum 160 mm, Precisión y Durabilidad, Mango Ergonómico POM Negro, Serie Manhattan",162600_,505,13,0.01%,0.01%,772,16,0.01%,0.01%,87.83%,100.00%,38,4,7.52%,30.77%,"1.054,94 €","110,99 €",36,2
