ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0B464Q8VS,B0B464Q8VS,CUPERINOX® Kitchen Pro | Tijeras de Cocina Profesional 21 cm Tijeras de Trinchar Carne y Pescado Acero Inoxidable Mango Ergonómico Apto Lavavajillas,GL-GPOC-BFYF,448,13,0.01%,0.01%,609,18,0.01%,0.01%,99.82%,100.00%,6,0,1.34%,0.00%,"56,44 €","0,00 €",6,0
B0B4B6B16Z,B0B4B6B16Z,CUPERINOX | Tijeras de manicura para uñas | Tijera corta uñas de punta redondeada para las uñas de las manos | Fabricado en Acero Inoxidable 9 cm,21939,237,3,0.00%,0.00%,338,8,0.00%,0.00%,52.32%,87.50%,22,3,9.28%,100.00%,"216,78 €","29,97 €",6,1
B0C5X757TS,B0C5X757TS,Arcos Serie Lisboa - Cubertería de 24 piezas en Caja de Regalo (6 Cuchillos + 12 Cucharas + 6 Tenedores) - Monoblock de una pieza en Acero Inoxidable - Color Plata,597400,151,6,0.00%,0.00%,249,7,0.00%,0.00%,86.73%,100.00%,12,0,7.95%,0.00%,"1.055,88 €","0,00 €",6,0
B0G6M1C8V6,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,22105y22106,942,10,0.02%,0.01%,"1,387",13,0.02%,0.01%,87.33%,100.00%,8,0,0.85%,0.00%,"95,92 €","0,00 €",6,0
B0DPKXM18X,B0DNQX2BZN,"CUPERINOX Soporte Jamonero Plegable | Jamonero Giratorio | Jamonero de Bambú con Cuchillo Profesional, Afilador y Funda para Jamón | Elite Collection",20270,"12,699",370,0.20%,0.25%,"17,533",480,0.20%,0.23%,99.08%,100.00%,6,1,0.05%,0.27%,"299,94 €","49,99 €",6,1
B0FJLTDB9J,B0F95HH915,"Alicates para pedicura, Profesional, Cortaúñas de Pies, Acero Inoxidable, Mango Ergonómico Antideslizante, Fácil Limpieza, Con Funda, 2 Años de Garantía (Cortauñas Grande)",A10001,119,2,0.00%,0.00%,138,2,0.00%,0.00%,99.09%,100.00%,7,0,5.88%,0.00%,"50,93 €","0,00 €",6,0
B0FH71NBJL,B0FH71NBJL,"VINFERMATÓN - Pack TRIPLE ACCIÓN Insecticida contra Moscas, Mosquitos, Cucarachas, Hormigas y Avispas - 6 ud",V9090,140,6,0.00%,0.00%,183,9,0.00%,0.00%,95.29%,100.00%,6,1,4.29%,16.67%,"160,39 €","24,99 €",6,1
B0F54LTCFF,B0015YKFPK,Arcos Universal Cuchillo Lenguado y Pescado Nitrum Negro 170 mm,284204,935,24,0.02%,0.02%,"1,026",25,0.01%,0.01%,13.36%,15.38%,6,0,0.64%,0.00%,"85,50 €","0,00 €",5,0
B0044R87V4,B0044R87V4,"Arcos Cuchillo Salmón y Pescado Acero Inoxidable 12""",242700_,137,2,0.00%,0.00%,220,2,0.00%,0.00%,64.80%,50.00%,5,0,3.65%,0.00%,"99,95 €","0,00 €",5,0
B0752XP113,B0044R886S,Arcos Conjunto carne con Hoja Acero Inoxidable Nitrum y mm. Mango ergonómico polioximetileno POM. Serie Mesa. Los bordeserrados los hacen perfectos cortar y picar carnes. Color plateado.,378000_,"2,508",64,0.04%,0.04%,"3,381",80,0.04%,0.04%,32.51%,31.82%,5,0,0.20%,0.00%,"200,61 €","0,00 €",5,0
B017HKJC2W,B007TS67GW,Arcos Cuchillo Cocina Acero Inoxidable 150 mm,281304,762,18,0.01%,0.01%,"1,322",26,0.01%,0.01%,14.19%,23.08%,6,0,0.79%,0.00%,"89,94 €","0,00 €",5,0
B0F54LTCFF,B007TS67GW,Arcos Cuchillo Cocina Acero Inoxidable 150 mm,281304_,"5,862",135,0.09%,0.09%,"7,755",174,0.09%,0.08%,3.81%,2.17%,5,0,0.09%,0.00%,"74,95 €","0,00 €",5,0
B017HKJC2W,B007TS67IU,"Arcos Cuchillo de Cocina Acero Inoxidable Nitrum 7""",281404_fbm,407,7,0.01%,0.00%,662,7,0.01%,0.00%,17.75%,0.00%,5,0,1.23%,0.00%,"81,25 €","0,00 €",5,0
B0F54LTCFF,B007TS67P8,Arcos Cuchillo Chef Acero Inoxidable 175 mm,280504_,"9,706",173,0.16%,0.12%,"13,695",230,0.16%,0.11%,1.07%,1.43%,5,0,0.05%,0.00%,"87,45 €","0,00 €",5,0
B0752TVHLW,B007TS67WG,Arcos Cuchillo Chef Acero Inoxidable 300 mm,280804,178,16,0.00%,0.01%,230,18,0.00%,0.01%,30.24%,7.69%,5,1,2.81%,6.25%,"148,75 €","29,75 €",5,1
B0F54LTCFF,B007TS68IO,Arcos Universal Cuchillo Carnicero Deshuesador Acero Inoxidable 180 mm,288300_fbm,"1,401",24,0.02%,0.02%,"1,665",28,0.02%,0.01%,17.76%,25.00%,5,0,0.36%,0.00%,"145,46 €","0,00 €",5,0
B0F54LTCFF,B007TS6GIG,Arcos Conjunto Cuchillos 6 piezas Acero Inoxidable Nitrum. 3760 gr. Bloque madera pino. Mango ergonómico polioximetileno POM. Serie Universal. Mayor control. Color negro.,285100_,"2,259",48,0.04%,0.03%,"2,771",54,0.03%,0.03%,37.44%,36.36%,5,0,0.22%,0.00%,"519,95 €","0,00 €",5,0
B00VRWR53K,B00VRWR53K,"Arcos Serie Universal, Macheta Cuchillo Carnicero, Hoja de Acero Inoxidable Nitrum 180 mm, Mango de Polioximetileno, Pom Color Negro",288100_,154,2,0.00%,0.00%,244,2,0.00%,0.00%,97.74%,100.00%,5,0,3.25%,0.00%,"197,95 €","0,00 €",5,0
B09ZLJL6JF,B00YU0JT2G,Arcos Serie Lyon - Cuchillo Mondador | Cuchillo Arcos - Hoja de Acero Inoxidable Forjado NITRUM de 100 mm - Mango de Polioximetileno (POM) - Color Negro,250200_,196,2,0.00%,0.00%,259,3,0.00%,0.00%,95.22%,100.00%,5,0,2.55%,0.00%,"105,30 €","0,00 €",5,0
B07BDRM2H8,B017DLFYYK,Arcos Cuchillo Queso Acero Inoxidable Blanco 145 mm,232824_,286,5,0.00%,0.00%,370,5,0.00%,0.00%,50.15%,33.33%,5,1,1.75%,20.00%,"189,95 €","37,99 €",5,1
B0752X1Z92,B01KZWSCSE,ARCOS Mochila para 9 Cuchillos de Cocina en Poliéster y PVC. Bolsa Portacuchillos Profesional para Almacenar y Transportar Utensilios de Cocina. 330 x 480 x 185 Mm. Color Negro,694900,86,0,0.00%,0.00%,151,0,0.00%,0.00%,92.91%,0.00%,5,0,5.81%,0.00%,"324,50 €","0,00 €",5,0
B0752NT3TH,B0728B9D8T,ARCOS Prochef Tijeras de Cocina Acero Inoxidable 220 mm,185901,"2,972",102,0.05%,0.07%,"3,475",113,0.04%,0.05%,6.72%,2.00%,5,0,0.17%,0.00%,"139,95 €","0,00 €",5,0
B07878SB8W,B07878SB8W,WINS – Fregasuelos Limpiador Amoniacal Pino 018 | Garrafa 5 L | Friegasuelos Perfumado para Suelos y Superficies Lavables | Uso General | 100% Made in Spain,WINS018,129,6,0.00%,0.00%,167,7,0.00%,0.00%,91.89%,100.00%,6,2,4.65%,33.33%,"76,60 €","24,80 €",5,1
B0799Z54MP,B0799Z54MP,CUPERINOX Tijeras Cocina Profesional |Mango ergonómico para máxima comodidad| Tijeras 21 cm |Tijeras de Trinchar | Tijeras Pollo | Tijera Pescado | Tijera Acero Inoxidable| Apto Lavavajillas,21982_,55,3,0.00%,0.00%,69,3,0.00%,0.00%,98.48%,100.00%,5,0,9.09%,0.00%,"49,95 €","0,00 €",5,0
B07B8MQZTW,B07B8MQZTW,Arcos Serie Riviera Rose - Cuchillo Mondador - Hoja de Acero Inoxidable Forjado NITRUM 100 mm - Mango de Polioximetileno (POM) Color Rosa,230254_,180,11,0.00%,0.01%,264,20,0.00%,0.01%,99.14%,100.00%,5,1,2.78%,9.09%,"124,95 €","24,99 €",5,1
B07BMGMVY4,B07BMGMVY4,Arcos Serie Riviera Rose - Cuchillo Cocinero - Hoja de Acero Inoxidable Forjado NITRUM 200 mm - Mango de Polioximetileno (POM) Color Rosa,233654_,228,4,0.00%,0.00%,362,5,0.00%,0.00%,98.67%,100.00%,5,0,2.19%,0.00%,"172,95 €","0,00 €",5,0
B0FR444FLT,B07C7YV74X,Arcos Manhattan Cuchillo Trinchar Acero Jamón y Carne 250 mm,161900,"1,076",26,0.02%,0.02%,"1,409",27,0.02%,0.01%,97.32%,100.00%,5,1,0.46%,3.85%,"168,88 €","28,92 €",5,1
B07TYQJ4YX,B07D2TFS1B,HENDI Máquina eléctrica para pasta,H224847,"2,120",56,0.03%,0.04%,"3,018",83,0.03%,0.04%,26.44%,12.73%,5,0,0.24%,0.00%,"1.045,00 €","0,00 €",5,0
B0D1CV1MT6,B07D9YVLP6,"HENDI Tabla de cortar con certificación HACCP 600x400 - Blanco, 600x400mm",H825600,383,32,0.01%,0.02%,447,38,0.01%,0.02%,71.38%,44.44%,5,1,1.31%,3.13%,"198,70 €","39,74 €",5,1
B0FD46SGNM,B07DC8JHV4,Arcos Cuchillo verduras Acero Inoxidable. Cuchillo profesional para pelar frutas y verduras. Mango ergonómico polioximetileno y Hoja 130 mm. Serie Manhattan. Color negro.,161100_,209,5,0.00%,0.00%,273,6,0.00%,0.00%,83.26%,50.00%,5,0,2.39%,0.00%,"122,45 €","0,00 €",5,0
